variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged
phi1_w128,5,32,-202.62206320866943,34.07424625396729,66.62762790679932,34.67993163442239,,,500.0,0.0
phi1_w128,5,50,-212.58538714230062,33.94820594787598,67.90981704711913,35.72280862267017,,,500.0,0.0
phi1_w128,5,100,-245.45230808109045,32.921083030700686,68.63152599334717,33.920798832923175,,,500.0,0.0
phi1_w32,1,4,-27.48463321298361,2.7819943690299986,4.576456818580628,2.3317818965390327,,,307.98,0.45
phi1_w32,1,8,-23.965704724639654,1.5355252075195311,3.2245401835441587,2.8835004062391816,,,453.81,0.13
phi1_w32,1,16,-31.010723250731825,1.3946968054771423,3.2811931848526,4.31101454725489,,,500.0,0.0
phi1_w32,1,32,-41.661129374243316,1.313447403907776,3.3191275930404665,3.880816583984997,,,500.0,0.0
phi1_w32,1,50,-52.168385548330846,1.329867353439331,3.7614381742477416,2.66126024684906,,,500.0,0.0
phi1_w32,1,100,-76.30489346735179,1.3650446021556855,4.757656524181366,2.7243613627113406,,,500.0,0.0
phi1_w32,2,4,-7.695167260719463,1.3688477969169617,2.2760213017463684,2.1670163438562304,,,39.88,1.0
phi1_w32,2,8,-11.229671692792326,1.0021044486761093,2.2063208174705506,1.6452452690480277,,,57.46,1.0
phi1_w32,2,16,-14.040435514850541,0.7989263051748275,2.1449805426597597,1.9623029574955582,,,71.53,1.0
phi1_w32,2,32,-16.950808883365244,0.6995580387115479,2.077409975528717,1.070566457525856,,,85.82,1.0
phi1_w32,2,50,-20.381458366867154,0.678700532913208,2.0526007175445558,1.0577771404470317,,,94.98,1.0
phi1_w32,2,100,-25.495317212939263,0.6613033246994019,2.0355156469345093,1.2128654202250764,,,103.78,1.0
phi1_w32,3,4,-12.954550283104181,1.3996436154842378,2.1496391034126283,2.0683319299668073,,,148.45,0.98
phi1_w32,3,8,-22.68462581731379,1.5465424036979676,3.0020581698417663,1.5987304987246171,,,424.43,0.44
phi1_w32,3,16,-28.32593983535655,2.3508299493789675,6.063636655807495,4.204993890477344,,,500.0,0.0
phi1_w32,3,32,-33.51477077038959,2.8740778148174284,8.386608924865723,4.486912257816293,,,500.0,0.0
phi1_w32,3,50,-36.725310577191415,2.8320348119735717,8.791247673034668,6.498703831991182,,,500.0,0.0
phi1_w32,3,100,-44.99957067659125,2.7739594769477844,9.315338792800903,3.701723384258291,,,500.0,0.0
phi1_w32,4,4,-6.381313028680161,1.7080690693855285,2.976586105823517,3.197875710884109,,,31.29,1.0
phi1_w32,4,8,-8.570272744465619,1.0950480329990386,2.6561458230018617,1.7695066443365066,,,44.58,1.0
phi1_w32,4,16,-10.593703044373543,0.9068420153856277,2.572660894393921,2.0924043432594046,,,55.9,1.0
phi1_w32,4,32,-12.696149724964052,0.789778071641922,2.519539453983307,0.7086151782466914,,,62.92,1.0
phi1_w32,4,50,-14.662857598140835,0.7296433806419372,2.3512599229812623,0.771165930860769,,,70.35,1.0
phi1_w32,4,100,-19.068940265104175,0.6996029114723206,2.26664023399353,0.782579575943295,,,79.39,1.0
phi1_w32,5,4,-199.6763870640099,40.73955778121948,56.76969314575195,34.56580088019371,,,500.0,0.0
phi1_w32,5,8,-194.48190221309662,38.70274993896484,63.10762691497803,35.554004831165074,,,500.0,0.0
phi1_w32,5,16,-196.24340485274791,38.272311248779296,66.74539558410645,36.58600056776777,,,500.0,0.0
phi1_w32,5,32,-200.61724013656377,38.24239807128906,68.80442665100098,37.41353152446449,,,500.0,0.0
phi1_w32,5,50,-205.58812683314085,38.23889808654785,69.52916076660156,37.98572131817341,,,500.0,0.0
phi1_w32,5,100,-219.91117366611957,38.27239360809326,70.14584869384765,38.091312475216384,,,500.0,0.0
phi1_w64,1,4,-12.319636169448495,1.2925915825366974,2.1180404472351073,2.1461324937315656,,,72.54,1.0
phi1_w64,1,8,-16.248763190899044,1.047563651204109,2.0857361698150636,1.1942201434844173,,,101.27,0.99
phi1_w64,1,16,-19.83037171206437,0.9255294102430344,2.0462843203544616,1.2795891519868747,,,112.79,1.0
phi1_w64,1,32,-24.016147351358086,0.8534557491540908,2.0427505016326903,0.9245505006890744,,,125.59,1.0
phi1_w64,1,50,-28.069550413582473,0.8293629175424576,2.037473223209381,0.7917981910705566,,,137.59,1.0
phi1_w64,1,100,-32.25078022245318,0.7999178206920624,2.0370783257484435,1.3970772794365882,,,141.66,1.0
phi1_w64,2,4,-16.971760163009165,1.4705328750610351,2.4024863600730897,2.562085285000503,,,189.68,0.92
phi1_w64,2,8,-25.352229969473555,1.2460110872983932,2.5243413710594176,2.257557490533218,,,402.54,0.6
phi1_w64,2,16,-32.5881121086143,1.6289827209711074,3.6346511673927306,3.7762461858999448,,,489.09,0.1
phi1_w64,2,32,-40.36232186768204,1.8676288503408431,4.2742677855491635,4.534658902999363,,,499.93,0.01
phi1_w64,2,50,-45.50644408989697,1.4761744433641433,3.8960682559013367,2.7626077052751556,,,500.0,0.0
phi1_w64,2,100,-60.05626551434398,1.8128669184446335,4.641173453330993,2.969304929972952,,,500.0,0.0
phi1_w64,3,4,-7.650861695171334,1.4787835967540741,2.473202028274536,2.1270033411122857,,,38.15,1.0
phi1_w64,3,8,-11.353845286266878,0.978348999619484,2.3895728754997254,0.8612321099545807,,,56.52,1.0
phi1_w64,3,16,-13.884546214891598,0.7206541121006012,2.486741223335266,1.4060485382092884,,,67.07,1.0
phi1_w64,3,32,-17.023049056008457,0.5648887813091278,2.5291291069984436,1.1475933242285101,,,76.07,1.0
phi1_w64,3,50,-19.736146751008928,0.4563266858458519,2.4932810068130493,0.3788130683737807,,,82.22,1.0
phi1_w64,3,100,-25.65350419975817,0.35827033057808877,2.5267125940322877,0.2967337465653895,,,90.09,1.0
phi1_w64,4,4,-6.144786605536938,1.6632384300231933,2.9209781432151796,3.264958053417504,,,30.2,1.0
phi1_w64,4,8,-8.652614584406837,1.0784720307588578,2.8433043241500853,1.8858687102096154,,,42.54,1.0
phi1_w64,4,16,-10.216115936022252,0.7734599059820175,2.7139625191688537,0.8307210199168185,,,50.0,1.0
phi1_w64,4,32,-12.243593547325581,0.655991567671299,2.871317403316498,0.8061754284598283,,,56.38,1.0
phi1_w64,4,50,-14.075969930626451,0.6032527297735214,2.752348554134369,1.3021079618597404,,,59.02,1.0
phi1_w64,4,100,-18.341834055706858,0.603188587129116,2.7000270318984985,1.9063569005113095,,,65.84,1.0
phi1_w64,5,4,-7.117433899920433,1.5042088520526886,2.552920081615448,2.495888569522649,,,35.27,1.0
phi1_w64,5,8,-9.695441544735804,1.0482476633787154,2.416744678020477,2.8475859774532726,,,49.37,1.0
phi1_w64,5,16,-11.329327419893817,0.8770989763736725,2.43372727394104,2.162351070700679,,,58.78,1.0
phi1_w64,5,32,-13.580023272037506,0.8030720776319504,2.315549221038818,0.5712620150002476,,,66.76,1.0
phi1_w64,5,50,-15.009599264636636,0.7905896157026291,2.3892233180999756,1.6869864434568211,,,69.55,1.0
phi1_w64,5,100,-19.03169384662062,0.7694138950109481,2.4451739454269408,2.0477037780529823,,,75.97,1.0
phi2_w128,1,4,-196.550110225603,39.331977157592775,56.07428796768188,33.51641037702561,,,500.0,0.0
phi2_w128,1,8,-192.7301854018867,38.335740089416504,63.36099304199219,34.92083774507046,,,500.0,0.0
phi2_w128,1,16,-194.37897235244512,38.03248977661133,66.55677558898925,36.10718419924378,,,500.0,0.0
phi2_w128,1,32,-199.4488350442052,38.22574234008789,68.97961380004882,37.67854906693101,,,500.0,0.0
phi2_w128,1,50,-203.87008106917142,38.24914943695068,69.52534957885742,37.52106157832146,,,500.0,0.0
phi2_w128,1,100,-216.40037109971047,38.21361530303955,70.06486785888671,37.74211703155041,,,500.0,0.0
phi2_w128,2,4,-7.915402348702774,1.4664719521999359,2.496533648967743,1.7404883735068142,,,37.69,1.0
phi2_w128,2,8,-10.061147647527978,1.017431526184082,2.3670735645294187,1.957140252601821,,,52.17,1.0
phi2_w128,2,16,-11.426008084034548,0.8647707939147949,2.386312339305878,2.839626583943609,,,59.93,1.0
phi2_w128,2,32,-13.641849887790158,0.7364200139045716,2.3414211869239807,1.6721556647619582,,,67.25,1.0
phi2_w128,2,50,-15.111775222495199,0.6914656835794449,2.4602775287628176,1.0861602459896356,,,71.67,1.0
phi2_w128,2,100,-18.835050302520393,0.6111468431353569,2.465111219882965,0.8284988417172339,,,78.29,1.0
phi2_w128,3,4,-159.92673868626355,30.550233917236326,38.005862388610836,30.06139881014824,,,500.0,0.0
phi2_w128,3,8,-154.2368577057123,28.108199520111086,39.41168426513672,30.568862426877022,,,500.0,0.0
phi2_w128,3,16,-159.62314946234227,26.92302230834961,40.98265506744385,30.01775490939617,,,500.0,0.0
phi2_w128,3,32,-169.14463735491037,26.37955135345459,42.5563247680664,32.24239881824702,,,500.0,0.0
phi2_w128,3,50,-182.388655500412,26.201696510314942,46.23678310394287,31.256432211083176,,,500.0,0.0
phi2_w128,3,100,-212.2838792383671,26.086378860473634,52.24913711547852,33.898852042304725,,,500.0,0.0
phi2_w128,4,4,-8.592582371057942,1.3833950853347778,2.3395298314094544,2.054101764340885,,,43.0,1.0
phi2_w128,4,8,-11.140634289709851,0.9768858146667481,2.3190008783340454,1.4173455230379477,,,56.34,1.0
phi2_w128,4,16,-13.077299051107838,0.698885663151741,2.3362524008750913,0.5633867235216894,,,67.87,1.0
phi2_w128,4,32,-16.697052654288708,0.583474540412426,2.2959083127975464,0.6646471234748605,,,80.95,1.0
phi2_w128,4,50,-18.156524410806597,0.5426350393891335,2.2851788783073426,0.7182875044527464,,,83.81,1.0
phi2_w128,4,100,-22.719065358676016,0.5011838999390602,2.3270332622528076,1.043574950507516,,,93.12,1.0
phi2_w128,5,4,-7.4085264338459815,1.4325556683540344,2.355851323604584,2.8544681156240403,,,38.06,1.0
phi2_w128,5,8,-10.607986282771453,1.0338941270112991,2.270632131099701,1.260663996641524,,,55.0,1.0
phi2_w128,5,16,-13.023203876679764,0.870744189620018,2.3384716176986693,1.2999659275996964,,,65.28,1.0
phi2_w128,5,32,-16.8234944023937,0.7825596338510513,2.382668101787567,0.7794716455353773,,,76.14,1.0
phi2_w128,5,50,-19.96959562819451,0.7005420744419097,2.375249090194702,1.8835945928078144,,,85.45,1.0
phi2_w128,5,100,-25.27249025076628,0.6154159462451935,2.427025315761566,1.125085466220975,,,94.54,1.0
