config_x,config_y,p_improvement,ci_low,ci_high
embed_dim128,embed_dim64,0.64,0.24,1.0
embed_dim16,embed_dim64,0.48,0.0,0.84
embed_dim32,embed_dim64,0.56,0.16,0.92
embed_dim4,embed_dim64,0.28,0.0,0.68
embed_dim8,embed_dim64,0.44,0.0,0.84
