config,metric,point,ci_low,ci_high
embed_dim128,Median,0.6226147764469836,0.39287188240327925,0.8656837286788471
embed_dim128,IQM,0.6286447377352219,0.32159650985728644,0.9529939930696766
embed_dim128,Mean,0.6226147764469836,0.39287188240327925,0.8656837286788471
embed_dim128,Optimality Gap,0.3773852235530164,0.13431627132115287,0.6071281175967207
embed_dim16,Median,0.5790312108337667,0.2788264052129078,0.8792360164546255
embed_dim16,IQM,0.6407591171072315,0.14814299058591834,0.972777234236396
embed_dim16,Mean,0.5790312108337667,0.2788264052129078,0.8792360164546255
embed_dim16,Optimality Gap,0.42096878916623326,0.12076398354537454,0.7211735947870922
embed_dim32,Median,0.5152698026625376,0.2522786314466693,0.7813343676048864
embed_dim32,IQM,0.5129340608180023,0.15739129400386342,0.875033213977351
embed_dim32,Mean,0.5152698026625376,0.2522786314466693,0.7813343676048864
embed_dim32,Optimality Gap,0.48473019733746237,0.2186656323951136,0.7477213685533307
embed_dim4,Median,0.9471728840179064,0.8642153174288987,0.9956655393539954
embed_dim4,IQM,0.9842397163384055,0.846435551744008,0.9995415536127178
embed_dim4,Mean,0.9471728840179064,0.8642153174288987,0.9956655393539954
embed_dim4,Optimality Gap,0.05282711598209355,0.004334460646004623,0.13578468257110132
embed_dim64,Median,0.8259145782307182,0.7660144348224613,0.9128304218118221
embed_dim64,IQM,0.7998066964667073,0.7539394995999439,0.934439722384758
embed_dim64,Mean,0.8259145782307182,0.7660144348224613,0.9128304218118221
embed_dim64,Optimality Gap,0.17408542176928177,0.08716957818817794,0.23398556517753866
embed_dim8,Median,0.854663995901453,0.6527121013567487,0.9765552424277368
embed_dim8,IQM,0.9414665358991208,0.6048800449912805,0.9795942270611278
embed_dim8,Mean,0.854663995901453,0.6527121013567487,0.9765552424277368
embed_dim8,Optimality Gap,0.14533600409854697,0.023444757572263164,0.34728789864325127
