config,run,task,score
embed_dim128,0,100,-188.91310424804686
embed_dim128,1,100,-276.48895568847655
embed_dim128,2,100,-176.87201538085938
embed_dim128,3,100,-7.043316316604614
embed_dim128,4,100,-43.16726455688477
embed_dim16,0,100,-180.90856399536133
embed_dim16,1,100,-11.897500801086426
embed_dim16,2,100,-363.5348815917969
embed_dim16,3,100,-202.90042724609376
embed_dim16,4,100,-12.007525277137756
embed_dim32,0,100,-176.80685577392578
embed_dim32,1,100,-16.011187112331392
embed_dim32,2,100,-336.04754028320315
embed_dim32,3,100,-109.76597957611084
embed_dim32,4,100,-247.84698657989503
embed_dim4,0,100,-80.47477235794068
embed_dim4,1,100,-2.094776302576065
embed_dim4,2,100,-11.847835230827332
embed_dim4,3,100,-8.93381040096283
embed_dim4,4,100,-2.5918790340423583
embed_dim64,0,100,-96.61349029541016
embed_dim64,1,100,-5.109662055969238
embed_dim64,2,100,-79.86574783325196
embed_dim64,3,100,-76.33890146836639
embed_dim64,4,100,-67.15334572792054
embed_dim8,0,100,-11.067166996002197
embed_dim8,1,100,-13.36536967754364
embed_dim8,2,100,-194.7000534057617
embed_dim8,3,100,-8.671778035163879
embed_dim8,4,100,-45.32081651687622
