config,task,iqm,ci_low,ci_high
embed_dim128,4,0.9029080979073635,0.7370309292050882,0.9827266643909572
embed_dim128,50,0.752165883988725,0.2699095076340529,0.8510147385271468
embed_dim128,100,0.6266741467899092,0.21929762340653694,0.775310244090892
embed_dim16,4,0.6790044050180651,0.5495329996130659,0.8678560710314468
embed_dim16,50,0.8494518166190863,0.6974664936240708,0.966465149951672
embed_dim16,100,0.6014997005541446,0.02941630288451116,0.9462468066797897
embed_dim32,4,0.7409598084698493,0.41740803782700747,0.9400281376479255
embed_dim32,50,0.9464161112698942,0.8675706667422851,0.9908647944978002
embed_dim32,100,0.385462663159802,0.02419475394070211,0.7187249875967292
embed_dim4,4,0.488349298083045,0.16026006688494257,0.5885541295650879
embed_dim4,50,0.43046675183120514,0.01419082284427736,0.7541972383453636
embed_dim4,100,0.1376126286511459,0.07682556244482965,0.6801562953143105
embed_dim64,4,0.8547063805302525,0.6985264084202879,0.9160364569324236
embed_dim64,50,0.9276460757403685,0.7816610966212943,0.9993394406185795
embed_dim64,100,0.5529396812440139,0.16581880081512032,0.8605025919337658
embed_dim8,4,0.5343018853749234,0.3352431102325976,0.6325915245365162
embed_dim8,50,0.6474262516949986,0.261978706713138,0.955234735649686
embed_dim8,100,0.442452560067,0.08236644866323216,0.8049790532161306
