config,metric,point,ci_low,ci_high
embed_dim128,Median,0.6266568648264219,0.4794811228201003,0.8237049604785494
embed_dim128,IQM,0.7494203541435138,0.6077991201726541,0.8342122105754234
embed_dim128,Mean,0.6838759752915752,0.5541992802678989,0.804691682305743
embed_dim128,Optimality Gap,0.3161240247084247,0.19530831769425705,0.4458007197321011
embed_dim16,Median,0.6865970069152023,0.5717370066478654,0.846462804642048
embed_dim16,IQM,0.7674622490651885,0.6105837027004751,0.8688564015131739
embed_dim16,Mean,0.6923617782425852,0.5591662292539638,0.8181540216292547
embed_dim16,Optimality Gap,0.30763822175741473,0.1818459783707453,0.44083377074603625
embed_dim32,Median,0.7065036038439242,0.5086783627612604,0.9076418815238084
embed_dim32,IQM,0.7471293886678657,0.5824877383528126,0.8505990210687214
embed_dim32,Mean,0.6743159056059559,0.5529975444002985,0.7757404212196158
embed_dim32,Optimality Gap,0.32568409439404433,0.2242595787803841,0.4470024555997015
embed_dim4,Median,0.4168524959817036,0.14035664646237883,0.5464778484970148
embed_dim4,IQM,0.3504896263442914,0.14735645069185188,0.5664738823182178
embed_dim4,Mean,0.37304820465176397,0.21678246585025082,0.5338601244310932
embed_dim4,Optimality Gap,0.6269517953482361,0.4661398755689068,0.7832175341497492
embed_dim64,Median,0.8268868582204167,0.7256289166373311,0.8904396732910743
embed_dim64,IQM,0.8309124189790131,0.7152540243741857,0.9210608498018393
embed_dim64,Mean,0.7625709504477133,0.6558956814229254,0.8604072989347014
embed_dim64,Optimality Gap,0.23742904955228683,0.13959270106529864,0.34410431857707446
embed_dim8,Median,0.5048560689357229,0.3582912918796523,0.6507154623184224
embed_dim8,IQM,0.5255895976706013,0.3455511374396888,0.6755170641288779
embed_dim8,Mean,0.5180563221339891,0.3700603578828607,0.6512847944392482
embed_dim8,Optimality Gap,0.4819436778660108,0.34871520556075164,0.6299396421171393
