config,run,task,score
phi_layers1_phi_hidden_width128,0,16,-111.60657348632813
phi_layers1_phi_hidden_width128,1,16,-132.29670486450195
phi_layers1_phi_hidden_width128,2,16,-245.66022491455078
phi_layers1_phi_hidden_width128,3,16,-338.74253845214844
phi_layers1_phi_hidden_width128,4,16,-277.59447326660154
phi_layers1_phi_hidden_width32,0,16,-254.57500305175782
phi_layers1_phi_hidden_width32,1,16,-160.13007659912108
phi_layers1_phi_hidden_width32,2,16,-114.89360084533692
phi_layers1_phi_hidden_width32,3,16,-194.09029235839844
phi_layers1_phi_hidden_width32,4,16,-255.3683822631836
phi_layers1_phi_hidden_width64,0,16,-272.21497497558596
phi_layers1_phi_hidden_width64,1,16,-103.5392562866211
phi_layers1_phi_hidden_width64,2,16,-378.9348571777344
phi_layers1_phi_hidden_width64,3,16,-289.61435546875
phi_layers1_phi_hidden_width64,4,16,-132.8490119934082
phi_layers2_phi_hidden_width128,0,16,-196.09215698242187
phi_layers2_phi_hidden_width128,1,16,-383.0153106689453
phi_layers2_phi_hidden_width128,2,16,-325.3505126953125
phi_layers2_phi_hidden_width128,3,16,-210.4095199584961
phi_layers2_phi_hidden_width128,4,16,-278.5072479248047
phi_layers2_phi_hidden_width32,0,16,-48.147145652770995
phi_layers2_phi_hidden_width32,1,16,-492.8947509765625
phi_layers2_phi_hidden_width32,2,16,-186.71178741455077
phi_layers2_phi_hidden_width32,3,16,-210.2499984741211
phi_layers2_phi_hidden_width32,4,16,-191.15157623291014
phi_layers2_phi_hidden_width64,0,16,-340.7132110595703
phi_layers2_phi_hidden_width64,1,16,-235.75740966796874
phi_layers2_phi_hidden_width64,2,16,-253.3948760986328
phi_layers2_phi_hidden_width64,3,16,-283.0960693359375
phi_layers2_phi_hidden_width64,4,16,-240.13983306884765
phi_layers4_phi_hidden_width128,0,16,-344.11854553222656
phi_layers4_phi_hidden_width128,1,16,-338.3297485351562
phi_layers4_phi_hidden_width128,2,16,-584.9569274902344
phi_layers4_phi_hidden_width128,3,16,-409.3808959960937
phi_layers4_phi_hidden_width128,4,16,-323.2566802978516
phi_layers4_phi_hidden_width32,0,16,-247.80824127197266
phi_layers4_phi_hidden_width32,1,16,-385.0000335693359
phi_layers4_phi_hidden_width32,2,16,-229.6256317138672
phi_layers4_phi_hidden_width32,3,16,-318.74814758300784
phi_layers4_phi_hidden_width32,4,16,-176.38828735351564
phi_layers4_phi_hidden_width64,0,16,-404.7923095703125
phi_layers4_phi_hidden_width64,1,16,-387.58091125488284
phi_layers4_phi_hidden_width64,2,16,-320.499072265625
phi_layers4_phi_hidden_width64,3,16,-408.88500061035154
phi_layers4_phi_hidden_width64,4,16,-295.72951049804686
