config,metric,point,ci_low,ci_high
embed_dim128,Median,0.5837786430009758,0.39297206096823906,0.7745852250337125
embed_dim128,IQM,0.6015335034139215,0.327542833379088,0.8236262651182124
embed_dim128,Mean,0.5837786430009758,0.39297206096823906,0.7745852250337125
embed_dim128,Optimality Gap,0.4162213569990242,0.22541477496628748,0.607027939031761
embed_dim16,Median,0.7365119665264713,0.48622843833943297,0.9189043224869151
embed_dim16,IQM,0.8139294523225429,0.41804319961298736,0.9678258248474697
embed_dim16,Mean,0.7365119665264713,0.48622843833943297,0.9189043224869151
embed_dim16,Optimality Gap,0.26348803347352867,0.08109567751308489,0.513771561660567
embed_dim32,Median,0.414377214065153,0.34515010780056105,0.492919861317416
embed_dim32,IQM,0.39746143094301395,0.3314248316291513,0.5227587653018144
embed_dim32,Mean,0.414377214065153,0.34515010780056105,0.492919861317416
embed_dim32,Optimality Gap,0.5856227859348471,0.5070801386825841,0.654849892199439
embed_dim4,Median,0.9525921190195066,0.888150406088197,0.9950852583858367
embed_dim4,IQM,0.977843999124432,0.870441144238916,0.9978097542844444
embed_dim4,Mean,0.9525921190195066,0.888150406088197,0.9950852583858367
embed_dim4,Optimality Gap,0.04740788098049342,0.004914741614163276,0.11184959391180305
embed_dim64,Median,0.4581232069203926,0.2287422902259893,0.6506096352687502
embed_dim64,IQM,0.525118405296882,0.14281687747287644,0.7020478642905781
embed_dim64,Mean,0.4581232069203926,0.2287422902259893,0.6506096352687502
embed_dim64,Optimality Gap,0.5418767930796073,0.34939036473124985,0.7712577097740108
embed_dim8,Median,0.8487003616154043,0.6927806680170676,0.9776331301490424
embed_dim8,IQM,0.8875961652639685,0.6365399162361912,0.9911900930305495
embed_dim8,Mean,0.8487003616154043,0.6927806680170676,0.9776331301490424
embed_dim8,Optimality Gap,0.1512996383845957,0.022366869850957594,0.3072193319829324
