config,run,task,score
embed_dim128,0,50,-168.1023208618164
embed_dim128,1,50,-236.33196258544922
embed_dim128,2,50,-279.67352600097655
embed_dim128,3,50,-74.6168399810791
embed_dim128,4,50,-73.89021224975586
embed_dim16,0,50,-10.39925045967102
embed_dim16,1,50,-34.95950355529785
embed_dim16,2,50,-294.4442077636719
embed_dim16,3,50,-102.20696449279785
embed_dim16,4,50,-96.43658452033996
embed_dim32,0,50,-265.89084777832034
embed_dim32,1,50,-178.115576171875
embed_dim32,2,50,-241.61548461914063
embed_dim32,3,50,-259.4112213134766
embed_dim32,4,50,-213.85328693389891
embed_dim4,0,50,-6.371706795692444
embed_dim4,1,50,-8.364694428443908
embed_dim4,2,50,-71.71796798706055
embed_dim4,3,50,-24.861324119567872
embed_dim4,4,50,-10.954827499389648
embed_dim64,0,50,-115.8753547668457
embed_dim64,1,50,-226.35612945556642
embed_dim64,2,50,-131.14445095062257
embed_dim64,3,50,-391.3975402832031
embed_dim64,4,50,-209.85702209472657
embed_dim8,0,50,-167.70375366210936
embed_dim8,1,50,-28.909782886505127
embed_dim8,2,50,-103.18965952396393
embed_dim8,3,50,-16.37320785522461
embed_dim8,4,50,-6.1923419713974
