figure,config,environment,size,variant,iteration,iqm,ci_low,ci_high,reps
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,341,0.991161758218587,0.98644253820934,0.9935909701878565,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,351,0.9903947757415533,0.9874911777497225,0.9918784329668617,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,361,0.9920674334582893,0.9902197617898594,0.9949982678222117,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,371,0.9916303009189419,0.9899337105368679,0.994090901071181,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,381,0.991676782342199,0.9886515777397465,0.9955799670207206,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,391,0.9901909797768035,0.9875538187025897,0.9944916840627446,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,401,0.9896443278387119,0.9879458218224956,0.9937678742508099,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,411,0.9890413412266931,0.985701195594911,0.9941123168966947,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,421,0.988496801307147,0.9869418140053413,0.9918712255883677,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,431,0.9891892406603361,0.9862576398123416,0.9905944121853877,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,441,0.9928440501145829,0.9892533335816426,0.99548543380795,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,451,0.9911685969332195,0.9874908778558505,0.9932015945955545,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,461,0.9919469179509041,0.9907489837259563,0.9931104168442723,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,471,0.9910112554509061,0.988322811106638,0.9924052536250757,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,481,0.9918081259325805,0.9897429815791047,0.993099848243917,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,491,0.9913435662198687,0.9879687130124245,0.9922553350478216,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim128,500,0.9893722751779265,0.9839261585058731,0.9938580090201242,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,1,0.08558593936109893,0.008299542348197292,0.2145681526328621,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,11,0.352463773284634,0.21723952784033934,0.5020656626097889,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,21,0.918255876963847,0.8753955467240332,0.9595205194115355,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,31,0.9704678963617086,0.959798258003417,0.9796554209201277,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,41,0.9836781647069013,0.9695438474823198,0.9888487420088014,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,51,0.982344662854481,0.9780424839130936,0.9846688431985521,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,61,0.9815767658074829,0.9776059674677765,0.9880780360267657,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,71,0.9871529045517677,0.9813154802583628,0.9944202263718337,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,81,0.9835166381807899,0.9805055902706226,0.9886508545914027,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,91,0.9884228083432188,0.9856841966460467,0.9897247667484662,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,101,0.985492317740623,0.9842301622709861,0.9892893570037028,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,111,0.9841408364352605,0.981621703805304,0.9860870129606006,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,121,0.991095488762559,0.9895098406799413,0.994224580714301,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,131,0.9889066300337298,0.9841751838546884,0.9915355578513578,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,141,0.9881637751884993,0.9829129411818688,0.9905937195227091,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,151,0.9888570291470286,0.9837760506339054,0.9922714938684627,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,161,0.9890560969977534,0.9859030624551078,0.99175368349682,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,171,0.9844559958270312,0.982214611714522,0.9873055037406769,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,181,0.9868912163082758,0.9828724406207971,0.9909596815035764,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,191,0.9888879323952264,0.9874452344339097,0.991370073151517,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,201,0.9871873788766403,0.9826968488593971,0.9890259799961373,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,211,0.9899236850067394,0.9864798618804812,0.995095035084811,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,221,0.9887426157355216,0.9874004977832745,0.992534838972425,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,231,0.9878669468982769,0.9840362436618512,0.9910038070229641,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,241,0.9886479719235926,0.9877094267557845,0.9905281065719426,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,251,0.9884588346011549,0.9859700763285487,0.9901581786186874,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,261,0.9899426534713873,0.9859532404425465,0.9912241637937579,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,271,0.9866138577237594,0.9844910231476963,0.9900906103315164,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,281,0.9854553131055157,0.9837197740954337,0.9894470153951435,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,291,0.989825623255432,0.9880940034257862,0.9918862656559826,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,301,0.9882115717491856,0.980855629517514,0.99173001244103,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,311,0.9883875307565093,0.9865755110104022,0.9911659879274297,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,321,0.9872000906901756,0.9860112766419885,0.9916488631443731,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,331,0.9875648048856651,0.9847962562649939,0.989958881062018,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,341,0.9896141916949337,0.9883258759794721,0.9915931013173694,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,351,0.9898245761082713,0.9876248205264563,0.9914285737256309,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,361,0.990696320802297,0.9882024877298422,0.993331615870196,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,371,0.9884875613146314,0.9865734188429877,0.991634703616212,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,381,0.9871486287599422,0.9851931526886935,0.9907094395640179,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,391,0.9898065051983327,0.9867348340609716,0.9931440822355562,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,401,0.9913177051589469,0.9876584405437265,0.9939289952466736,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,411,0.9904677754399621,0.9877700918121474,0.992693587049164,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,421,0.9901085238503448,0.9876560732963537,0.994503492649819,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,431,0.9902658809299755,0.985234475653764,0.9916407248896283,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,441,0.9863288160425735,0.9807119207994207,0.9933218320984846,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,451,0.9906931290240184,0.9856183830570631,0.9947897721908169,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,461,0.9912228068271595,0.9861355149454067,0.9926800677199782,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,471,0.9904353713044661,0.987179275361375,0.9927412481967782,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,481,0.9888951248853722,0.9881432328127501,0.9902338128457687,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,491,0.9882368507465874,0.9870570437591626,0.9901314894820151,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim16,500,0.9893715350143274,0.9881565366153707,0.9917166568836748,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,1,0.16174486019372358,0.13543634910737243,0.2220769620437116,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,11,0.42895163302982553,0.3877450182739515,0.5258316635235448,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,21,0.937708476666475,0.9232423988328478,0.953087595927347,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,31,0.9719958131015392,0.9616576042637869,0.981818344855263,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,41,0.9840576658680854,0.9808359244341118,0.9851594660283406,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,51,0.9843798802100231,0.9806131614226522,0.9917644917286853,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,61,0.9869728866971217,0.9833175965619169,0.9920998772960473,2000
