config,run,task,score
phi_layers1_phi_hidden_width128,0,100,-243.84988708496093
phi_layers1_phi_hidden_width128,1,100,-231.78802795410155
phi_layers1_phi_hidden_width128,2,100,-57.053578567504886
phi_layers1_phi_hidden_width128,3,100,-231.32256164550782
phi_layers1_phi_hidden_width128,4,100,-216.29915771484374
phi_layers1_phi_hidden_width32,0,100,-98.788916015625
phi_layers1_phi_hidden_width32,1,100,-156.0352783203125
phi_layers1_phi_hidden_width32,2,100,-60.76798973083496
phi_layers1_phi_hidden_width32,3,100,-194.738232421875
phi_layers1_phi_hidden_width32,4,100,-114.6574722290039
phi_layers1_phi_hidden_width64,0,100,-24.974084091186523
phi_layers1_phi_hidden_width64,1,100,-100.53986434936523
phi_layers1_phi_hidden_width64,2,100,-77.13789176940918
phi_layers1_phi_hidden_width64,3,100,-211.16357879638673
phi_layers1_phi_hidden_width64,4,100,-25.939036750793456
phi_layers2_phi_hidden_width128,0,100,-209.0225357055664
phi_layers2_phi_hidden_width128,1,100,-241.40947265625
phi_layers2_phi_hidden_width128,2,100,-217.8602081298828
phi_layers2_phi_hidden_width128,3,100,-90.23724594116212
phi_layers2_phi_hidden_width128,4,100,-240.2989715576172
phi_layers2_phi_hidden_width32,0,100,-223.7943130493164
phi_layers2_phi_hidden_width32,1,100,-48.87809181213379
phi_layers2_phi_hidden_width32,2,100,-55.24088401794434
phi_layers2_phi_hidden_width32,3,100,-236.31693572998046
phi_layers2_phi_hidden_width32,4,100,-205.4051254272461
phi_layers2_phi_hidden_width64,0,100,-239.0016098022461
phi_layers2_phi_hidden_width64,1,100,-40.065751457214354
phi_layers2_phi_hidden_width64,2,100,-60.11483573913574
phi_layers2_phi_hidden_width64,3,100,-215.74618377685547
phi_layers2_phi_hidden_width64,4,100,-222.89131622314454
phi_layers4_phi_hidden_width128,0,100,-247.28628387451172
phi_layers4_phi_hidden_width128,1,100,-214.0744384765625
phi_layers4_phi_hidden_width128,2,100,-223.36123657226562
phi_layers4_phi_hidden_width128,3,100,-223.6288803100586
phi_layers4_phi_hidden_width128,4,100,-213.84478454589845
phi_layers4_phi_hidden_width32,0,100,-240.37754821777344
phi_layers4_phi_hidden_width32,1,100,-84.86271057128906
phi_layers4_phi_hidden_width32,2,100,-246.33490600585938
phi_layers4_phi_hidden_width32,3,100,-223.4660903930664
phi_layers4_phi_hidden_width32,4,100,-208.00921478271485
phi_layers4_phi_hidden_width64,0,100,-217.83281402587892
phi_layers4_phi_hidden_width64,1,100,-81.9173698425293
phi_layers4_phi_hidden_width64,2,100,-208.30725555419923
phi_layers4_phi_hidden_width64,3,100,-208.74539337158203
phi_layers4_phi_hidden_width64,4,100,-226.49744567871093
