config,run,task,score
phi_layers1_phi_hidden_width128,0,100,-212.84796447753905
phi_layers1_phi_hidden_width128,1,100,-18.73670024871826
phi_layers1_phi_hidden_width128,2,100,-39.70617704391479
phi_layers1_phi_hidden_width128,3,100,-56.824833679199216
phi_layers1_phi_hidden_width128,4,100,-172.50928535461426
phi_layers1_phi_hidden_width32,0,100,-3.201145648956299
phi_layers1_phi_hidden_width32,1,100,-15.653339862823486
phi_layers1_phi_hidden_width32,2,100,-205.10443725585938
phi_layers1_phi_hidden_width32,3,100,-59.69214677810669
phi_layers1_phi_hidden_width32,4,100,-5.460907292366028
phi_layers1_phi_hidden_width64,0,100,-237.50951385498047
phi_layers1_phi_hidden_width64,1,100,-11.443509793281555
phi_layers1_phi_hidden_width64,2,100,-6.2007848680019375
phi_layers1_phi_hidden_width64,3,100,-91.3461510181427
phi_layers1_phi_hidden_width64,4,100,-19.39724178314209
phi_layers2_phi_hidden_width128,0,100,-102.95337238311768
phi_layers2_phi_hidden_width128,1,100,-142.71072235107422
phi_layers2_phi_hidden_width128,2,100,-215.09368896484375
phi_layers2_phi_hidden_width128,3,100,-204.55402221679688
phi_layers2_phi_hidden_width128,4,100,-28.764257621765136
phi_layers2_phi_hidden_width32,0,100,-39.61205883026123
phi_layers2_phi_hidden_width32,1,100,-53.35000762939453
phi_layers2_phi_hidden_width32,2,100,-193.66586303710938
phi_layers2_phi_hidden_width32,3,100,-165.5700372604653
phi_layers2_phi_hidden_width32,4,100,-110.69525321722031
phi_layers2_phi_hidden_width64,0,100,-208.41778869628905
phi_layers2_phi_hidden_width64,1,100,-250.06615295410157
phi_layers2_phi_hidden_width64,2,100,-171.2107608795166
phi_layers2_phi_hidden_width64,3,100,-133.0189281463623
phi_layers2_phi_hidden_width64,4,100,-170.4075843811035
phi_layers4_phi_hidden_width128,0,100,-190.89661102294923
phi_layers4_phi_hidden_width128,1,100,-179.18158536925912
phi_layers4_phi_hidden_width128,2,100,-126.10030941963196
phi_layers4_phi_hidden_width128,3,100,-118.93873209953308
phi_layers4_phi_hidden_width128,4,100,-242.62486267089844
phi_layers4_phi_hidden_width32,0,100,-203.9748275756836
phi_layers4_phi_hidden_width32,1,100,-232.8259475708008
phi_layers4_phi_hidden_width32,2,100,-202.0443084716797
phi_layers4_phi_hidden_width32,3,100,-114.18032493591309
phi_layers4_phi_hidden_width32,4,100,-229.3351303100586
phi_layers4_phi_hidden_width64,0,100,-115.17177925109863
phi_layers4_phi_hidden_width64,1,100,-208.55201721191406
phi_layers4_phi_hidden_width64,2,100,-265.7788330078125
phi_layers4_phi_hidden_width64,3,100,-201.05210876464844
phi_layers4_phi_hidden_width64,4,100,-224.25161743164062
