config,variant,run,train_size,test_size,seed,episode,ep_reward,ep_length,converged,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,0,-465.8406384140253,1024,False,,,,16.198469161987305,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,1,-512.3094443678856,1024,False,,,,16.964998245239258,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,2,-511.59707990288734,1024,False,,,,52.148590087890625,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,3,-518.4291104078293,1024,False,,,,26.96112632751465,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,4,-493.0751041173935,1024,False,,,,16.630756378173828,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,5,-490.8161287009716,1024,False,,,,20.739442825317383,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,6,-492.7085538804531,1024,False,,,,21.611238479614258,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,7,-451.67744275927544,1024,False,,,,15.206358909606934,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,8,-537.8558118343353,1024,False,,,,24.477245330810547,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,9,-505.728718996048,1024,False,,,,14.533357620239258,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,10,-547.5190280377865,1024,False,,,,22.594152450561523,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,11,-530.3416647017002,1024,False,,,,19.96926498413086,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,12,-546.3963277637959,1024,False,,,,25.511314392089844,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,13,-468.16315162181854,1024,False,,,,27.263813018798828,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,14,-527.9744934737682,1024,False,,,,17.24470329284668,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,15,-519.1033945977688,1024,False,,,,18.256582260131836,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,16,-532.2349654138088,1024,False,,,,22.13774299621582,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,17,-485.0893967151642,1024,False,,,,30.142629623413086,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,18,-535.5734106600285,1024,False,,,,21.982219696044922,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,19,-483.2580677270889,1024,False,,,,26.53065299987793,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,20,-494.62368872761726,1024,False,,,,25.15565299987793,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,21,-551.0560216605663,1024,False,,,,51.07681655883789,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,22,-494.2690235674381,1024,False,,,,18.250629425048828,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,23,-525.0486702024937,1024,False,,,,23.24066734313965,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,24,-564.8940539807081,1024,False,,,,23.593441009521484,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,25,-597.0688860714436,1024,False,,,,24.703460693359375,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,26,-495.03962165117264,1024,False,,,,33.6146240234375,
architecture_scalability_pursuit_evasion_100agents,phi1_w64,1,100,4,0,27,-488.55795170366764,1024,False,,,,17.176218032836914,
