variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged
phi1_w128,1,4,-968.7229820796102,,,,60.347787399291995,,1024.0,0.0
phi1_w128,1,8,-836.6981499334797,,,,55.344000358581546,,1024.0,0.0
phi1_w128,1,16,-632.3472799172997,,,,44.46164526939392,,1024.0,0.0
phi1_w128,1,32,-458.0940309067443,,,,35.521115140914915,354.77777777777777,963.77,0.09
phi1_w128,1,50,-365.0699431052059,,,,28.63909017086029,340.1,887.22,0.2
phi1_w128,1,100,-98.67152838390786,,,,8.676257439333984,202.72368421052633,399.83,0.76
phi1_w128,2,4,-816.931647528112,,,,39.119532890319825,,1024.0,0.0
phi1_w128,2,8,-652.3178621121496,,,,32.98101595878601,,1024.0,0.0
phi1_w128,2,16,-494.5214252026193,,,,24.568319082260132,462.0,995.9,0.05
phi1_w128,2,32,-304.71479209672657,,,,13.942239038944244,451.9428571428571,823.78,0.35
phi1_w128,2,50,-122.17130459563806,,,,5.794973201751709,294.1927710843373,418.26,0.83
phi1_w128,2,100,-18.800374463456684,,,,2.9942748236656187,113.4,113.4,1.0
phi1_w128,3,4,-913.899421672374,,,,47.06912227630615,,1024.0,0.0
phi1_w128,3,8,-714.02519641608,,,,35.05265218734741,,1024.0,0.0
phi1_w128,3,16,-510.2248952198029,,,,24.694771642684938,,1024.0,0.0
phi1_w128,3,32,-366.4757505622879,,,,17.744586334228515,,1024.0,0.0
phi1_w128,3,50,-296.4882978254557,,,,14.288016061782837,,1024.0,0.0
phi1_w128,3,100,-174.0142716597393,,,,8.089630399087463,351.2857142857143,882.73,0.21
phi1_w128,4,4,-740.8664736519008,,,,32.72942610740662,,1024.0,0.0
phi1_w128,4,8,-548.9115844425559,,,,27.65673547744751,,1024.0,0.0
phi1_w128,4,16,-422.5854443307873,,,,21.781980285644533,374.3333333333333,1004.51,0.03
phi1_w128,4,32,-297.40275789206845,,,,14.891826539039611,475.3157894736842,919.75,0.19
phi1_w128,4,50,-202.15329587222078,,,,10.8535267162323,426.35714285714283,772.99,0.42
phi1_w128,4,100,-52.991572359874844,,,,3.9663052678108217,262.1630434782609,323.11,0.92
phi1_w128,5,4,-917.9437433495373,,,,45.518280048370364,,1024.0,0.0
phi1_w128,5,8,-738.3082659451663,,,,36.49736898422241,,1024.0,0.0
phi1_w128,5,16,-545.6968309475855,,,,27.033714647293092,,1024.0,0.0
phi1_w128,5,32,-374.7267727944255,,,,18.481133518218993,,1024.0,0.0
phi1_w128,5,50,-312.3685881469771,,,,15.493657341003418,,1024.0,0.0
phi1_w128,5,100,-204.02288141690195,,,,10.035877611637115,17.5,1003.87,0.02
phi1_w32,1,4,-571.8717960825562,,,,27.26602657318115,,1024.0,0.0
phi1_w32,1,8,-417.9560209339857,,,,19.66382095336914,,1024.0,0.0
phi1_w32,1,16,-301.7205843624659,,,,14.370380871295929,290.5,1009.33,0.02
phi1_w32,1,32,-127.97587334581651,,,,5.034629924297333,427.9594594594595,582.93,0.74
phi1_w32,1,50,-39.35546925837174,,,,3.0012517881393435,223.86,223.86,1.0
phi1_w32,1,100,-6.115866778595373,,,,3.012452621459961,52.51,52.51,1.0
phi1_w32,2,4,-738.4069728902728,,,,36.8305895614624,,1024.0,0.0
phi1_w32,2,8,-584.2593168837204,,,,27.84439444541931,,1024.0,0.0
phi1_w32,2,16,-415.66068141449244,,,,21.37672198534012,404.25,949.63,0.12
phi1_w32,2,32,-234.16065895050764,,,,10.006644101142884,366.77358490566036,675.67,0.53
phi1_w32,2,50,-102.40825081860646,,,,4.961460518836975,247.23809523809524,371.52,0.84
phi1_w32,2,100,-13.383201593933627,,,,2.9590921449661254,88.14,88.14,1.0
phi1_w32,3,4,-924.8712905623019,,,,46.438223667144776,,1024.0,0.0
phi1_w32,3,8,-730.7778867617994,,,,36.001272983551026,,1024.0,0.0
phi1_w32,3,16,-530.628404321447,,,,26.247084636688232,,1024.0,0.0
phi1_w32,3,32,-381.9938885074109,,,,18.866972312927246,,1024.0,0.0
phi1_w32,3,50,-303.55888841725886,,,,14.864512434005738,,1024.0,0.0
phi1_w32,3,100,-217.43441063281148,,,,10.825732266902923,40.0,1014.16,0.01
phi1_w32,4,4,-897.388879115507,,,,51.4167066192627,,1024.0,0.0
phi1_w32,4,8,-702.0734118723125,,,,38.287916040420534,,1024.0,0.0
phi1_w32,4,16,-541.7955392466113,,,,31.911249017715456,,1024.0,0.0
phi1_w32,4,32,-344.4268593923375,,,,22.606791810989378,440.4,907.28,0.2
phi1_w32,4,50,-236.2375702838786,,,,16.84358593225479,342.81081081081084,771.96,0.37
phi1_w32,4,100,-55.25777749413624,,,,4.469221926698781,258.30434782608694,319.56,0.92
phi1_w32,5,4,-809.8342778613791,,,,53.714785885810855,828.0,1022.04,0.01
phi1_w32,5,8,-667.9853871449828,,,,44.99279831171036,228.5,1008.09,0.02
phi1_w32,5,16,-551.7189719212148,,,,36.008525097370146,512.7692307692307,957.54,0.13
phi1_w32,5,32,-315.12965110563675,,,,19.821874952316286,289.0416666666667,671.22,0.48
phi1_w32,5,50,-164.06085483312606,,,,11.744092695713043,200.7972972972973,414.83,0.74
phi1_w32,5,100,-17.097950980970637,,,,3.2917046089365023,74.0909090909091,83.59,0.99
phi1_w64,1,4,-506.43850011773407,,,,23.012317914962768,,1024.0,0.0
phi1_w64,1,8,-391.664032333307,,,,19.50775123357773,166.0,1015.42,0.01
phi1_w64,1,16,-272.7658669159375,,,,13.346898477077485,387.7857142857143,934.93,0.14
phi1_w64,1,32,-100.45412697449326,,,,4.45360417842865,360.52941176470586,460.05,0.85
phi1_w64,1,50,-27.530119531564413,,,,3.1108112692832948,152.64646464646464,161.36,0.99
phi1_w64,1,100,-5.333791986601427,,,,3.0110832762718203,47.45,47.45,1.0
phi1_w64,2,4,-594.5849660922587,,,,26.567109661102293,,1024.0,0.0
phi1_w64,2,8,-444.80369759723544,,,,21.147948060035706,,1024.0,0.0
phi1_w64,2,16,-330.44778287798164,,,,16.63157226085663,609.1666666666666,999.11,0.06
phi1_w64,2,32,-195.02944302029908,,,,9.94744155864523,400.90697674418607,756.07,0.43
phi1_w64,2,50,-104.74415726548992,,,,5.002105524539948,365.1,496.88,0.8
phi1_w64,2,100,-16.981141631854697,,,,3.021761176562068,125.99,125.99,1.0
phi1_w64,3,4,-917.9957219485193,,,,46.253464241027835,,1024.0,0.0
phi1_w64,3,8,-743.5802919972688,,,,37.26969814300537,,1024.0,0.0
phi1_w64,3,16,-545.2233848095685,,,,27.768208465576173,,1024.0,0.0
phi1_w64,3,32,-401.49466760858894,,,,20.054818668365478,,1024.0,0.0
phi1_w64,3,50,-311.6033074298501,,,,15.914074172973633,,1024.0,0.0
phi1_w64,3,100,-217.69905243001878,,,,11.276579880714417,,1024.0,0.0
phi1_w64,4,4,-795.6832705607266,,,,35.67975370407105,,1024.0,0.0
phi1_w64,4,8,-582.0855849975347,,,,26.47090873718262,,1024.0,0.0
phi1_w64,4,16,-428.72642142578957,,,,19.963340590000154,315.0,1016.91,0.01
phi1_w64,4,32,-321.07329141423105,,,,17.094652314186096,379.2,991.76,0.05
phi1_w64,4,50,-251.6110573958233,,,,14.06948831319809,285.22222222222223,957.51,0.09
