config,run,task,score
embed_dim128,0,4,-103.50832443237304
embed_dim128,1,4,-155.07285537719727
embed_dim128,2,4,-242.27145690917968
embed_dim128,3,4,-514.0747589111328
embed_dim128,4,4,-383.6308532714844
embed_dim16,0,4,-102.6916259765625
embed_dim16,1,4,-85.93816299438477
embed_dim16,2,4,-89.81734848022461
embed_dim16,3,4,-76.26818008422852
embed_dim16,4,4,-93.77174072265625
embed_dim32,0,4,-103.36511993408203
embed_dim32,1,4,-79.29436340332032
embed_dim32,2,4,-110.6400535583496
embed_dim32,3,4,-96.4694435119629
embed_dim32,4,4,-230.1534454345703
embed_dim4,0,4,-296.79136962890624
embed_dim4,1,4,-411.3429290771484
embed_dim4,2,4,-357.3373077392578
embed_dim4,3,4,-190.9891357421875
embed_dim4,4,4,-521.0893859863281
embed_dim64,0,4,-92.25862045288086
embed_dim64,1,4,-96.88393859863281
embed_dim64,2,4,-84.30998001098632
embed_dim64,3,4,-108.69810333251954
embed_dim64,4,4,-280.507096862793
embed_dim8,0,4,-106.30338973999024
embed_dim8,1,4,-178.7508743286133
embed_dim8,2,4,-97.05746154785156
embed_dim8,3,4,-98.90737457275391
embed_dim8,4,4,-289.396728515625
