config_x,config_y,p_improvement,ci_low,ci_high
embed_dim128,embed_dim64,0.16,0.0,0.48
embed_dim16,embed_dim64,0.72,0.36,1.0
embed_dim32,embed_dim64,0.48,0.08,0.84
embed_dim4,embed_dim64,0.04,0.0,0.24
embed_dim8,embed_dim64,0.28,0.0,0.64
