variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged
embed_dim128,1,4,-5.837764873616397,1.6081902837753297,2.668857867717743,3.1292165626399218,,,31.02,1.0
embed_dim128,1,8,-7.789542467473074,1.1270976430177688,2.529172115325928,1.8630936712119728,,,40.65,1.0
embed_dim128,1,16,-9.460210732892156,0.9177513647079468,2.609488821029663,2.0090502565837234,,,48.28,1.0
embed_dim128,1,32,-11.450838926099241,0.810201530456543,2.6371138167381285,1.729289558288874,,,52.96,1.0
embed_dim128,1,50,-13.358181740567089,0.7702583646774293,2.551528015136719,1.6488329123774543,,,56.68,1.0
embed_dim128,1,100,-17.43801063321531,0.7172701811790466,2.7656764960289,1.0071771824001334,,,61.29,1.0
embed_dim128,2,4,-5.672504579061642,1.6676857554912567,2.767008264064789,1.8527945237699897,,,28.64,1.0
embed_dim128,2,8,-8.603248512679711,1.266206511259079,2.6125599050521853,2.6494686491182073,,,43.7,1.0
embed_dim128,2,16,-9.675680985171347,1.106725172996521,2.5765875482559206,4.15791124162497,,,49.17,1.0
embed_dim128,2,32,-11.137809147052467,1.032538002729416,2.490325999259949,2.5284235635900405,,,53.43,1.0
embed_dim128,2,50,-13.091713447980583,1.0078685694932938,2.5259918570518494,2.6251993024498224,,,58.13,1.0
embed_dim128,2,100,-16.636719255000354,0.9874006879329681,2.3400872635841368,0.7959036426670849,,,62.77,1.0
embed_dim128,3,4,-5.939893344193697,1.6804922366142272,2.8983627438545225,1.859442410999909,,,29.1,1.0
embed_dim128,3,8,-7.572594039775431,1.1441205018758773,2.697884500026703,0.9506612271000631,,,40.49,1.0
embed_dim128,3,16,-9.677477396428586,0.9237805539369583,2.5909115743637083,1.164166309874854,,,50.03,1.0
embed_dim128,3,32,-10.98231839582324,0.8354415959119796,2.7208736085891725,2.0515123938414037,,,54.22,1.0
embed_dim128,3,50,-12.553577271699906,0.7984873074293136,2.795475242137909,1.1777564766082913,,,58.18,1.0
embed_dim128,3,100,-16.185454457737507,0.7558534878492356,2.761703453063965,0.6518946982094087,,,64.75,1.0
embed_dim128,4,4,-6.241847914727405,1.6033463430404664,2.729185018539429,1.3300274953199551,,,30.56,1.0
embed_dim128,4,8,-8.498708137581126,1.1236340111494065,2.707692584991455,2.8714017348736522,,,42.84,1.0
