config_x,config_y,p_improvement,ci_low,ci_high
phi_layers1_phi_hidden_width128,phi_layers4_phi_hidden_width64,1.0,1.0,1.0
phi_layers1_phi_hidden_width32,phi_layers4_phi_hidden_width64,0.92,0.68,1.0
phi_layers1_phi_hidden_width64,phi_layers4_phi_hidden_width64,1.0,1.0,1.0
phi_layers2_phi_hidden_width128,phi_layers4_phi_hidden_width64,0.72,0.36,1.0
phi_layers2_phi_hidden_width32,phi_layers4_phi_hidden_width64,0.92,0.68,1.0
phi_layers2_phi_hidden_width64,phi_layers4_phi_hidden_width64,0.84,0.52,1.0
phi_layers4_phi_hidden_width128,phi_layers4_phi_hidden_width64,0.8,0.44,1.0
phi_layers4_phi_hidden_width32,phi_layers4_phi_hidden_width64,0.68,0.28,1.0
