variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged,train_size
phi1_w64,2,4,-138.97378751327284,,,,3.283463351726532,299.3125,328.3,0.96,4
phi1_w64,2,8,-138.3145259222202,,,,2.6938673663139343,477.21875,499.09,0.96,4
phi1_w64,2,16,-124.2544476079382,,,,6.292446014881134,399.4,618.01,0.65,4
phi1_w64,2,32,-8.961646116357297,,,,3.0477880382537843,64.35,64.35,1.0,4
phi1_w64,2,50,-4.893064892799593,,,,3.000203014624239,38.01,38.01,1.0,4
phi1_w64,2,100,-1.9188067833054812,,,,2.915385790545531,18.81,18.81,1.0,4
phi1_w64,3,4,-84.61147040683777,,,,2.5290037894248965,189.05,189.05,1.0,4
phi1_w64,3,8,-49.59263547521085,,,,2.8267473459243773,190.23232323232324,198.57,0.99,4
phi1_w64,3,16,-34.4996060455963,,,,2.7373394703865053,188.0,188.0,1.0,4
phi1_w64,3,32,-11.544209029581397,,,,3.1309062170982362,78.83,78.83,1.0,4
phi1_w64,3,50,-4.853520909631625,,,,2.938655224713412,38.03,38.03,1.0,4
phi1_w64,3,100,-2.1217259388323875,,,,2.9592796754837036,21.06,21.06,1.0,4
phi1_w64,4,4,-381.7812648529373,,,,14.481735479831695,498.51851851851853,740.24,0.54,4
phi1_w64,4,8,-291.500502522774,,,,10.00476078748703,662.1730769230769,835.85,0.52,4
phi1_w64,4,16,-258.39886882662773,,,,12.849399912357331,986.0,1023.62,0.01,4
phi1_w64,4,32,-142.21535394484178,,,,6.112405812740326,503.30232558139534,800.1,0.43,4
phi1_w64,4,50,-41.58328565344215,,,,3.154886682033539,286.64646464646466,294.02,0.99,4
phi1_w64,4,100,-6.151307181082666,,,,2.974362213611603,54.55,54.55,1.0,4
phi1_w64,5,4,-85.56834130426869,,,,2.7882782340049745,274.43,274.43,1.0,4
phi1_w64,5,8,-238.55307275537402,,,,9.326185274124146,912.8333333333334,1017.33,0.06,4
phi1_w64,5,16,-370.59156834557655,,,,18.33523522377014,480.875,980.55,0.08,4
phi1_w64,5,32,-250.91815396505407,,,,13.079937708377837,410.16,870.54,0.25,4
phi1_w64,5,50,-196.43089083663187,,,,10.674794919490814,407.05405405405406,795.73,0.37,4
