variant,run,test_size,ep_reward,max_pairwise_distance,distance_to_com,ep_length,converged
embed_dim128,1,4,-5.2010406754600504,2.7126641114552816,1.5865229136310517,27.716666666666665,1.0
embed_dim128,1,8,-7.305733061271409,2.5270030657450357,2.2295935856721676,39.93333333333333,1.0
embed_dim128,1,16,-8.634131737301747,2.4860114097595214,1.6159105424051328,48.416666666666664,1.0
embed_dim128,1,32,-10.595060229363542,2.4716646989186604,2.610485561552923,55.2,1.0
embed_dim128,1,50,-12.588971781854829,2.3461481372515363,1.9775415935379763,71.01666666666667,0.9833333333333333
embed_dim128,1,100,-31.356019352997343,2.2326697508494058,1.7261565860447783,202.45,0.7333333333333333
embed_dim128,2,4,-5.157178718053426,2.675432829062144,5.706669483178605,27.133333333333333,1.0
embed_dim128,2,8,-9.222170103977744,3.3708569010098777,2.1296058571509398,47.266666666666666,0.9833333333333333
embed_dim128,2,16,-12.656365014333279,4.09618745247523,2.5731192588602427,62.88333333333333,0.9666666666666667
embed_dim128,2,32,-10.43780466200163,2.4157355467478436,1.0953287305193953,52.53333333333333,1.0
embed_dim128,2,50,-11.92249562504391,2.428893180688222,1.4445137211903931,56.03333333333333,1.0
embed_dim128,2,100,-15.437746045738459,2.3559870799382527,1.509496444508123,60.06666666666667,1.0
embed_dim128,3,4,-5.737676359325026,2.7722814202308657,3.046527951521178,35.8,0.9833333333333333
embed_dim128,3,8,-21.96436684971365,7.790257155895233,5.044362225957836,93.4,0.8833333333333333
embed_dim128,3,16,-12.144042244832963,2.416623310248057,1.633575900143478,153.16666666666666,0.7666666666666667
embed_dim128,3,32,-31.931925635474425,4.090253953138987,5.963397763230993,425.8333333333333,0.16666666666666666
embed_dim128,3,50,-45.06929472982883,3.3072065234184267,2.05250657586505,500.0,0.0
embed_dim128,3,100,-73.52740224488079,2.616947360833486,2.2597678086956345,500.0,0.0
embed_dim128,4,4,-4.973505933800092,2.777719521522522,2.4082817837285497,26.266666666666666,1.0
embed_dim128,4,8,-8.567894585089137,2.5809455355008444,1.9714943177454793,44.15,1.0
embed_dim128,4,16,-11.610627070783327,2.4217497944831847,0.9988706158784528,89.15,0.9333333333333333
embed_dim128,4,32,-24.381696919848522,2.3794594685236614,2.769660945252205,346.43333333333334,0.35
embed_dim128,4,50,-37.53295843948921,2.4156426191329956,0.9948270258381963,429.1333333333333,0.16666666666666666
embed_dim128,4,100,-70.0564150997748,2.445914407571157,0.8527005952422818,500.0,0.0
embed_dim128,5,4,-5.377234538039192,2.972726758321126,1.8749384123366326,28.283333333333335,1.0
embed_dim128,5,8,-9.081082342704757,2.717733311653137,1.8705758987770726,46.666666666666664,1.0
embed_dim128,5,16,-9.1150329567492,2.5001710812250773,1.9645162407308816,50.06666666666667,1.0
embed_dim128,5,32,-13.385172334623833,3.0207200765609743,2.406325686944183,73.93333333333334,0.9833333333333333
embed_dim128,5,50,-16.207220445821683,2.8861943165461224,1.1433037557030719,92.0,0.9833333333333333
embed_dim128,5,100,-21.59993274435401,2.1927375912666323,1.5042776409511764,110.0,1.0
embed_dim16,1,4,-5.925792312715203,2.800041174888611,2.184286985810225,29.833333333333332,1.0
embed_dim16,1,8,-9.664546931146955,2.768317453066508,3.6224186230450868,50.8,1.0
embed_dim16,1,16,-9.456637203445037,2.6625667611757913,1.55507485497122,59.13333333333333,1.0
embed_dim16,1,32,-14.230978468122581,3.5012684504191083,2.607948332699016,83.31666666666666,0.9833333333333333
embed_dim16,1,50,-15.513590572153529,2.8934731403986613,2.854566650648912,98.63333333333334,1.0
embed_dim16,1,100,-28.896458941077192,2.97306840022405,2.3679925748451303,155.8,1.0
embed_dim16,2,4,-5.379119601768131,2.7733810544013977,1.620975078471626,28.633333333333333,1.0
embed_dim16,2,8,-7.879670983490844,2.631187375386556,2.6007654780521987,45.5,1.0
embed_dim16,2,16,-11.65579284420237,2.5917166829109193,0.875613683485426,128.0,0.9666666666666667
embed_dim16,2,32,-26.688081985525788,2.6602787375450134,2.9399771597236395,363.4,0.5833333333333334
embed_dim16,2,50,-37.71956955057879,2.6729249040285747,2.4422385440773016,410.53333333333336,0.4166666666666667
embed_dim16,2,100,-71.15029791233441,2.611372383435567,1.1651856715058286,474.31666666666666,0.15
embed_dim16,3,4,-5.246805024131512,2.8809600392977397,3.2797140491815906,29.1,1.0
embed_dim16,3,8,-8.079525771907841,2.5731408993403115,1.8984696260187774,44.06666666666667,1.0
embed_dim16,3,16,-9.609944839030504,2.6258154630661013,2.341328991499419,55.0,1.0
embed_dim16,3,32,-11.577402794112762,2.676249353090922,2.8551538359684248,71.68333333333334,1.0
embed_dim16,3,50,-14.526748372924825,2.8083765864372254,2.363160737780854,83.1,1.0
embed_dim16,3,100,-23.007036051154138,2.9273322184880572,3.4888721232557045,107.73333333333333,1.0
embed_dim16,4,4,-6.310957874218002,2.803503692150116,1.648000831839939,31.1,1.0
embed_dim16,4,8,-8.092287466395646,2.540649422009786,2.151917334801207,47.06666666666667,1.0
embed_dim16,4,16,-9.723531283376117,2.428775719801585,1.7470175305847078,57.416666666666664,1.0
embed_dim16,4,32,-12.109227074372273,2.47697692712148,1.4521487824618817,76.96666666666667,1.0
embed_dim16,4,50,-14.847912373642126,2.554988074302673,2.563242621086538,87.45,1.0
embed_dim16,4,100,-23.57883529563745,2.672271553675334,1.9203534131950386,114.86666666666666,1.0
embed_dim16,5,4,-4.907080227307355,2.862112232049306,1.0614749110924702,26.35,1.0
embed_dim16,5,8,-8.732546015425275,2.579612628618876,0.8824909133836627,49.233333333333334,1.0
embed_dim16,5,16,-9.887389966535071,2.3866553624471027,4.533513803159197,58.083333333333336,1.0
embed_dim16,5,32,-19.98914795257151,2.2377716223398845,2.311509889756174,214.4,0.65
embed_dim16,5,50,-34.562087316686906,2.2677969694137574,1.4213402086695035,340.48333333333335,0.36666666666666664
embed_dim16,5,100,-74.76782975631455,2.225362400213877,2.136284642289082,485.6166666666667,0.03333333333333333
embed_dim32,1,4,-5.676238948463773,2.6225074768066405,0.9719350287690759,30.166666666666668,1.0
embed_dim32,1,8,-9.201202072265248,2.649686829249064,2.325591008008147,47.88333333333333,1.0
embed_dim32,1,16,-9.790302271054436,2.4148634592692058,1.8485909899075825,52.583333333333336,1.0
embed_dim32,1,32,-14.966505052087207,2.532235054175059,3.520794242665094,85.41666666666667,0.9833333333333333
embed_dim32,1,50,-14.495549075615903,2.5950473229090374,3.8894261702485387,83.41666666666667,1.0
embed_dim32,1,100,-22.64640306507548,2.7312705834706623,1.3159887434790531,106.23333333333333,1.0
embed_dim32,2,4,-5.481612254492939,2.82162207365036,2.2406704178545622,28.3,1.0
embed_dim32,2,8,-8.02213113141867,2.645255959033966,5.373812495284558,43.46666666666667,1.0
embed_dim32,2,16,-11.8365327585799,2.3409836689631143,3.230689724177743,109.8,0.9
embed_dim32,2,32,-17.200478014101584,2.4048563996950785,1.6627846683065097,204.21666666666667,0.6666666666666666
embed_dim32,2,50,-32.51473271188637,2.4143451968828837,1.197696468765537,389.98333333333335,0.25
embed_dim32,2,100,-64.63765548517307,2.469507467746735,1.7792813273544112,500.0,0.0
embed_dim32,3,4,-5.781210937707995,2.787691136201223,2.8429124248834947,29.683333333333334,1.0
embed_dim32,3,8,-18.14665333647281,6.348049334685007,2.737827599529798,85.68333333333334,0.9166666666666666
embed_dim32,3,16,-10.314499865223963,2.5363073507944742,0.8728385749273002,94.3,1.0
embed_dim32,3,32,-27.181574429074924,3.2483407537142437,1.6603920834711365,323.0833333333333,0.7333333333333333
embed_dim32,3,50,-39.018217033520344,4.155933475494384,3.0480855728710687,386.43333333333334,0.5833333333333334
embed_dim32,3,100,-70.87274871952832,3.3691275238990785,1.0633615387395645,461.78333333333336,0.23333333333333334
embed_dim32,4,4,-5.391385499380219,2.8362710237503053,3.4530086402160425,27.966666666666665,1.0
embed_dim32,4,8,-15.58231710838154,5.436616122722626,4.0436940112306425,80.1,0.9166666666666666
