config_x,config_y,p_improvement,ci_low,ci_high
embed_dim128,embed_dim64,0.16,0.0,0.48
embed_dim16,embed_dim64,0.56,0.16,1.0
embed_dim32,embed_dim64,0.6,0.2,1.0
embed_dim4,embed_dim64,0.56,0.2,1.0
embed_dim8,embed_dim64,0.88,0.6,1.0
