config_x,config_y,p_improvement,ci_low,ci_high
phi_layers1_phi_hidden_width128,phi_layers4_phi_hidden_width64,0.76,0.4,1.0
phi_layers1_phi_hidden_width32,phi_layers4_phi_hidden_width64,0.76,0.4,1.0
phi_layers1_phi_hidden_width64,phi_layers4_phi_hidden_width64,0.8,0.44,1.0
phi_layers2_phi_hidden_width128,phi_layers4_phi_hidden_width64,0.52,0.16,0.92
phi_layers2_phi_hidden_width32,phi_layers4_phi_hidden_width64,0.48,0.12,0.88
phi_layers2_phi_hidden_width64,phi_layers4_phi_hidden_width64,0.76,0.36,1.0
phi_layers4_phi_hidden_width128,phi_layers4_phi_hidden_width64,0.4,0.0,0.8
phi_layers4_phi_hidden_width32,phi_layers4_phi_hidden_width64,0.72,0.32,1.0
