config,run,task,score
phi_layers1_phi_hidden_width128,0,16,-9.45000867843628
phi_layers1_phi_hidden_width128,1,16,-9.793634796142578
phi_layers1_phi_hidden_width128,2,16,-9.49103946685791
phi_layers1_phi_hidden_width128,3,16,-9.23905439376831
phi_layers1_phi_hidden_width128,4,16,-9.737725353240966
phi_layers1_phi_hidden_width32,0,16,-10.295084190368652
phi_layers1_phi_hidden_width32,1,16,-9.145680332183838
phi_layers1_phi_hidden_width32,2,16,-8.907171821594238
phi_layers1_phi_hidden_width32,3,16,-9.745540523529053
phi_layers1_phi_hidden_width32,4,16,-9.345504093170167
phi_layers1_phi_hidden_width64,0,16,-10.017170524597168
phi_layers1_phi_hidden_width64,1,16,-8.977577495574952
phi_layers1_phi_hidden_width64,2,16,-9.737707614898682
phi_layers1_phi_hidden_width64,3,16,-9.395254468917846
phi_layers1_phi_hidden_width64,4,16,-9.621867275238037
phi_layers2_phi_hidden_width128,0,16,-10.578464698791503
phi_layers2_phi_hidden_width128,1,16,-9.947174453735352
phi_layers2_phi_hidden_width128,2,16,-9.326597595214844
phi_layers2_phi_hidden_width128,3,16,-9.290731143951415
phi_layers2_phi_hidden_width128,4,16,-14.418877696990966
phi_layers2_phi_hidden_width32,0,16,-10.200510215759277
phi_layers2_phi_hidden_width32,1,16,-10.129728412628173
phi_layers2_phi_hidden_width32,2,16,-9.455764675140381
phi_layers2_phi_hidden_width32,3,16,-9.657117557525634
phi_layers2_phi_hidden_width32,4,16,-27.88371295928955
phi_layers2_phi_hidden_width64,0,16,-10.093585014343262
phi_layers2_phi_hidden_width64,1,16,-8.837717580795289
phi_layers2_phi_hidden_width64,2,16,-9.715540170669556
phi_layers2_phi_hidden_width64,3,16,-9.380807685852051
phi_layers2_phi_hidden_width64,4,16,-9.18544316291809
phi_layers4_phi_hidden_width128,0,16,-10.316015720367432
phi_layers4_phi_hidden_width128,1,16,-10.019756603240968
phi_layers4_phi_hidden_width128,2,16,-11.13687219619751
phi_layers4_phi_hidden_width128,3,16,-10.34097671508789
phi_layers4_phi_hidden_width128,4,16,-10.134588527679444
phi_layers4_phi_hidden_width32,0,16,-9.84423885345459
phi_layers4_phi_hidden_width32,1,16,-9.689893913269042
phi_layers4_phi_hidden_width32,2,16,-9.873986625671387
phi_layers4_phi_hidden_width32,3,16,-9.616603565216064
phi_layers4_phi_hidden_width32,4,16,-9.417355298995972
phi_layers4_phi_hidden_width64,0,16,-11.491923236846924
phi_layers4_phi_hidden_width64,1,16,-10.947437381744384
phi_layers4_phi_hidden_width64,2,16,-10.07394847869873
phi_layers4_phi_hidden_width64,3,16,-9.13378210067749
phi_layers4_phi_hidden_width64,4,16,-9.7523832321167
