variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged,train_size
phi1_w64,4,32,-10.354638993702828,1.037970362305641,2.2217818307876587,1.2441058595990762,,,55.56,1.0,4
phi1_w64,4,50,-12.041147893033921,1.020426374077797,2.144142143726349,2.819561276078224,,,60.37,1.0,4
phi1_w64,4,100,-16.03894029945135,0.9915041083097458,2.1389380264282227,2.1960277632880953,,,65.24,1.0,4
phi1_w64,5,4,-4.817232240685262,1.72623619556427,2.880199062824249,2.1004120918549596,,,25.73,1.0,4
phi1_w64,5,8,-8.460468989219516,1.3108374667167664,2.707503843307495,2.1482780810818074,,,43.27,1.0,4
phi1_w64,5,16,-10.051653108168393,1.1445143079757691,2.4399906039237975,1.8802961592422798,,,71.66,0.95,4
phi1_w64,5,32,-21.184344359561802,1.3306535106897355,2.848984093666077,1.6317747465288266,,,271.2,0.52,4
phi1_w64,5,50,-37.14584082223475,1.0976321965456008,2.4223313784599303,3.2180661637306214,,,450.92,0.11,4
phi1_w64,5,100,-66.8851919799298,1.1024815487861632,2.4142192125320436,1.8622543871805073,,,500.0,0.0,4
phi2_w128,1,4,-4.924505290235393,1.6844504404067993,2.8707966232299804,2.690823323642835,,,25.4,1.0,4
phi2_w128,1,8,-7.456962061682716,1.2599199992418288,2.6806918501853945,2.8329860062757506,,,39.39,1.0,4
phi2_w128,1,16,-8.386393562350422,1.086243520975113,2.4674247670173646,2.435140268782852,,,47.1,1.0,4
phi2_w128,1,32,-10.53814218789339,1.0136937338113785,2.226012406349182,2.7974337806797123,,,58.5,1.0,4
phi2_w128,1,50,-12.02381749331951,0.9891097527742386,2.132897434234619,1.2059361245445908,,,64.23,1.0,4
phi2_w128,1,100,-17.299445778056977,0.9654947942495347,2.013072783946991,1.9387434137221424,,,77.55,1.0,4
phi2_w128,2,4,-5.5268785777175795,1.6777684581279755,2.9057786989212038,3.040031103622168,,,27.29,1.0,4
phi2_w128,2,8,-7.378860368598253,1.2616171717643738,2.8969299387931824,2.334593677802477,,,37.97,1.0,4
phi2_w128,2,16,-8.842876665554941,1.0465966361761092,2.6789934992790223,3.6600838972069325,,,45.6,1.0,4
phi2_w128,2,32,-10.788927500620485,0.9778154343366623,2.6827077078819275,2.9414353026487516,,,52.12,1.0,4
phi2_w128,2,50,-11.962804003879429,0.9653208553791046,2.838492169380188,2.6220043720486577,,,54.35,1.0,4
phi2_w128,2,100,-15.516314973533154,0.9323841178417206,2.7965558266639707,1.5483970468919726,,,58.74,1.0,4
phi2_w128,3,4,-5.385963007817045,1.7235666441917419,2.954391040802002,1.3967352857533841,,,26.49,1.0,4
phi2_w128,3,8,-6.443400453738868,1.253237545490265,2.5873007345199586,1.6827263849647716,,,35.6,1.0,4
phi2_w128,3,16,-8.380670643914492,1.1095863944292068,2.6109943628311156,0.8894897426082753,,,43.99,1.0,4
phi2_w128,3,32,-10.281776306033134,1.027412331700325,2.585928499698639,2.5652845040673857,,,50.33,1.0,4
phi2_w128,3,50,-11.58358504973352,1.0021233999729156,2.5733174157142638,1.472548648586869,,,53.65,1.0,4
phi2_w128,3,100,-14.977671888545155,0.980781477689743,2.62356965303421,2.2620565073974435,,,57.58,1.0,4
phi2_w128,4,4,-4.974959278842435,1.661207971572876,2.8562979221343996,3.4056581008573996,,,25.78,1.0,4
phi2_w128,4,8,-6.729706768700853,1.247035197019577,2.6184191799163816,2.9713885775441304,,,37.73,1.0,4
phi2_w128,4,16,-8.3813447188586,1.0616140425205232,2.3891052746772767,2.9641715150582604,,,47.02,1.0,4
phi2_w128,4,32,-9.802308955974876,0.9888981068134308,2.2940248131752012,1.7715777672699187,,,51.77,1.0,4
phi2_w128,4,50,-11.321776946522295,0.9562159740924835,2.222167055606842,2.018860941085499,,,55.92,1.0,4
phi2_w128,4,100,-14.998255318775772,0.9378738725185394,2.1917848491668703,2.2951577339189124,,,60.66,1.0,4
phi2_w128,5,4,-4.987335323728621,1.6794701516628265,2.90103572845459,2.8131594547536225,,,25.77,1.0,4
phi2_w128,5,8,-7.443913259673864,1.2498198264837266,2.6371158933639527,2.661483365885215,,,39.12,1.0,4
phi2_w128,5,16,-9.063790589924901,1.0710901087522506,2.4608552742004393,1.1733188076131045,,,65.84,0.99,4
phi2_w128,5,32,-16.498442444521935,1.013429986834526,2.5740430521965028,1.6811260932998267,,,205.18,0.72,4
phi2_w128,5,50,-28.945174101777376,1.0459997075796128,3.0002021861076353,1.90333533706069,,,353.76,0.36,4
phi2_w128,5,100,-57.28637576244771,1.0783567494153976,3.966985082626343,2.7262707940928634,,,465.21,0.08,4
phi2_w32,1,4,-6.069155347794294,1.715000114440918,2.9226342988014222,2.122077336832881,,,29.52,1.0,4
phi2_w32,1,8,-7.692199581731111,1.3041913688182831,2.647745518684387,2.2650339676020668,,,40.56,1.0,4
phi2_w32,1,16,-9.21098609937355,1.1151940393447877,2.408995494842529,1.5507907364284619,,,48.62,1.0,4
phi2_w32,1,32,-10.792552647031844,1.0656566935777665,2.4419570064544676,4.334417349507566,,,53.41,1.0,4
phi2_w32,1,50,-12.825026630088686,1.0435170203447341,2.3646223664283754,1.3729979881156238,,,56.97,1.0,4
phi2_w32,1,100,-16.966267602816224,1.026103942990303,2.2599517202377317,1.617005393540091,,,60.85,1.0,4
phi2_w32,2,4,-5.729140271330253,1.6316300129890442,2.839379942417145,3.1433637777372496,,,28.82,1.0,4
phi2_w32,2,8,-7.872998884338886,1.1743411946296691,2.6286105942726135,2.945059139302466,,,41.34,1.0,4
phi2_w32,2,16,-8.99604060791433,1.0309533721208572,2.7531932377815247,2.4528495702263897,,,47.54,1.0,4
phi2_w32,2,32,-10.893019505143165,0.9461464977264404,2.3921584844589234,1.5721866876096464,,,54.92,1.0,4
phi2_w32,2,50,-12.175172669105232,0.9200133681297302,2.28688734292984,2.339912734789215,,,61.9,1.0,4
phi2_w32,2,100,-18.097737480849027,0.85169524371624,2.2040395975112914,2.200721006677928,,,89.71,1.0,4
phi2_w32,3,4,-5.7501412859000265,1.7133135759830476,2.9606839489936827,1.8716145081585274,,,28.54,1.0,4
phi2_w32,3,8,-7.198916912088171,1.2816981518268584,2.5009032344818114,1.9965152706066147,,,48.08,1.0,4
phi2_w32,3,16,-11.522876116130501,1.2040218889713288,2.216166021823883,3.314554156549275,,,155.1,1.0,4
phi2_w32,3,32,-28.12188251901418,1.077305210828781,2.6672647404670715,1.9364467066479847,,,462.65,0.09,4
phi2_w32,3,50,-38.34478789240122,1.0882540667057037,2.7783729004859925,1.8171267566651104,,,500.0,0.0,4
phi2_w32,3,100,-62.690097112208605,1.0669020420312882,2.8890221381187438,1.5322437810461969,,,500.0,0.0,4
phi2_w32,4,4,-5.529357071043924,1.7016972613334655,2.8785371732711793,1.0234880260378123,,,27.3,1.0,4
