config,metric,point,ci_low,ci_high
phi_layers1_phi_hidden_width128,Median,0.8204056843208793,0.6810880235605439,0.9406497541515024
phi_layers1_phi_hidden_width128,IQM,0.8369092186681399,0.6330501234580309,0.9657439660414667
phi_layers1_phi_hidden_width128,Mean,0.8204056843208793,0.6810880235605439,0.9406497541515024
phi_layers1_phi_hidden_width128,Optimality Gap,0.17959431567912065,0.059350245848497574,0.3189119764394561
phi_layers1_phi_hidden_width32,Median,0.7108041369732805,0.3871279200946585,0.9779734787811144
phi_layers1_phi_hidden_width32,IQM,0.7942144279086544,0.26663214857235384,0.9881219178719306
phi_layers1_phi_hidden_width32,Mean,0.7108041369732805,0.3871279200946585,0.9779734787811144
phi_layers1_phi_hidden_width32,Optimality Gap,0.2891958630267195,0.022026521218885597,0.6128720799053415
phi_layers1_phi_hidden_width64,Median,0.6484671061114884,0.3815165936086876,0.8480152406282178
phi_layers1_phi_hidden_width64,IQM,0.7349409533835992,0.2900234325455979,0.8622190199684922
phi_layers1_phi_hidden_width64,Mean,0.6484671061114884,0.3815165936086876,0.8480152406282178
phi_layers1_phi_hidden_width64,Optimality Gap,0.3515328938885116,0.15198475937178224,0.6184834063913124
phi_layers2_phi_hidden_width128,Median,0.46880184316507967,0.4017094417814803,0.5369214442361441
phi_layers2_phi_hidden_width128,IQM,0.47461887954368503,0.38126086953446264,0.5626357099275442
phi_layers2_phi_hidden_width128,Mean,0.46880184316507967,0.4017094417814803,0.5369214442361441
phi_layers2_phi_hidden_width128,Optimality Gap,0.5311981568349203,0.4630785557638559,0.5982905582185196
phi_layers2_phi_hidden_width32,Median,0.5039565731975577,0.35527002614163466,0.6348156376219569
phi_layers2_phi_hidden_width32,IQM,0.5338623262229754,0.30083143706877785,0.6681537912208156
phi_layers2_phi_hidden_width32,Mean,0.5039565731975577,0.35527002614163466,0.6348156376219569
phi_layers2_phi_hidden_width32,Optimality Gap,0.4960434268024423,0.3651843623780431,0.6447299738583654
phi_layers2_phi_hidden_width64,Median,0.46706770002973563,0.22194159402216784,0.6472288062148339
phi_layers2_phi_hidden_width64,IQM,0.5481494647312583,0.1396059547186452,0.6701711670121102
phi_layers2_phi_hidden_width64,Mean,0.46706770002973563,0.22194159402216784,0.6472288062148339
phi_layers2_phi_hidden_width64,Optimality Gap,0.5329322999702644,0.3527711937851661,0.7780584059778322
phi_layers4_phi_hidden_width128,Median,0.5115484182446766,0.47290542393672974,0.5548341341842299
phi_layers4_phi_hidden_width128,IQM,0.5018876310844788,0.46151018792972387,0.5702859768327337
phi_layers4_phi_hidden_width128,Mean,0.5115484182446766,0.47290542393672974,0.5548341341842299
phi_layers4_phi_hidden_width128,Optimality Gap,0.48845158175532344,0.4451658658157701,0.5270945760632703
phi_layers4_phi_hidden_width32,Median,0.5091992562768959,0.42628244022682704,0.5781176138637791
phi_layers4_phi_hidden_width32,IQM,0.5199969177489705,0.40398702988043494,0.6053492623624425
phi_layers4_phi_hidden_width32,Mean,0.5091992562768959,0.42628244022682704,0.5781176138637791
phi_layers4_phi_hidden_width32,Optimality Gap,0.4908007437231041,0.42188238613622087,0.573717559773173
phi_layers4_phi_hidden_width64,Median,0.5062524432699155,0.3913918968529113,0.6309729961013213
phi_layers4_phi_hidden_width64,IQM,0.4971884618327798,0.3707743367620954,0.6558112200741109
phi_layers4_phi_hidden_width64,Mean,0.5062524432699155,0.3913918968529113,0.6309729961013213
phi_layers4_phi_hidden_width64,Optimality Gap,0.4937475567300845,0.3690270038986787,0.6086081031470887
