config,run,task,score
phi_layers1_phi_hidden_width128,0,50,-35.59617881774902
phi_layers1_phi_hidden_width128,1,50,-233.7450958251953
phi_layers1_phi_hidden_width128,2,50,-78.04135131835938
phi_layers1_phi_hidden_width128,3,50,-180.07589263916014
phi_layers1_phi_hidden_width128,4,50,-84.09426460266113
phi_layers1_phi_hidden_width32,0,50,-52.04533874988556
phi_layers1_phi_hidden_width32,1,50,-446.3640502929687
phi_layers1_phi_hidden_width32,2,50,-303.68475036621095
phi_layers1_phi_hidden_width32,3,50,-32.640865898132326
phi_layers1_phi_hidden_width32,4,50,-50.4326976776123
phi_layers1_phi_hidden_width64,0,50,-452.3775573730469
phi_layers1_phi_hidden_width64,1,50,-256.62061614990233
phi_layers1_phi_hidden_width64,2,50,-117.37127017974854
phi_layers1_phi_hidden_width64,3,50,-120.95490417480468
phi_layers1_phi_hidden_width64,4,50,-93.46471366882324
phi_layers2_phi_hidden_width128,0,50,-354.31109008789065
phi_layers2_phi_hidden_width128,1,50,-316.09166259765624
phi_layers2_phi_hidden_width128,2,50,-316.0020355224609
phi_layers2_phi_hidden_width128,3,50,-252.78191223144532
phi_layers2_phi_hidden_width128,4,50,-250.1279312133789
phi_layers2_phi_hidden_width32,0,50,-316.25262451171875
phi_layers2_phi_hidden_width32,1,50,-213.08748474121094
phi_layers2_phi_hidden_width32,2,50,-190.94892120361328
phi_layers2_phi_hidden_width32,3,50,-414.46705627441406
phi_layers2_phi_hidden_width32,4,50,-266.7964752197266
phi_layers2_phi_hidden_width64,0,50,-531.9311157226563
phi_layers2_phi_hidden_width64,1,50,-233.90614318847656
phi_layers2_phi_hidden_width64,2,50,-218.01071472167968
phi_layers2_phi_hidden_width64,3,50,-322.81943969726564
phi_layers2_phi_hidden_width64,4,50,-186.97642211914064
phi_layers4_phi_hidden_width128,0,50,-271.186328125
phi_layers4_phi_hidden_width128,1,50,-297.7643798828125
phi_layers4_phi_hidden_width128,2,50,-235.19616775512696
phi_layers4_phi_hidden_width128,3,50,-303.37317810058596
phi_layers4_phi_hidden_width128,4,50,-275.0798370361328
phi_layers4_phi_hidden_width32,0,50,-352.94981079101564
phi_layers4_phi_hidden_width32,1,50,-284.77337036132815
phi_layers4_phi_hidden_width32,2,50,-280.2923583984375
phi_layers4_phi_hidden_width32,3,50,-251.83944549560547
phi_layers4_phi_hidden_width32,4,50,-218.6094741821289
phi_layers4_phi_hidden_width64,0,50,-272.73614501953125
phi_layers4_phi_hidden_width64,1,50,-374.38336181640625
phi_layers4_phi_hidden_width64,2,50,-170.36837921142578
phi_layers4_phi_hidden_width64,3,50,-291.65458984375
phi_layers4_phi_hidden_width64,4,50,-286.6785583496094
