variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged
embed_dim128,1,4,-10.915966434362344,1.4945597732067109,2.354309606552124,2.1183139224909247,,,106.02,1.0
embed_dim128,1,8,-21.434221135526897,1.1748265683650971,2.7006850051879883,1.3011497433672776,,,380.73,0.63
embed_dim128,1,16,-33.34154428081587,2.19974185526371,4.830889346599579,4.071637861251365,,,500.0,0.0
embed_dim128,1,32,-43.826734150759876,3.3586958849430086,7.776833617687226,5.928663006205461,,,500.0,0.0
embed_dim128,1,50,-50.75237590122968,3.8137381827831267,9.352678585052491,6.523065835255012,,,500.0,0.0
embed_dim128,1,100,-66.20169223036618,3.695558931827545,10.903484411239624,6.428023587185936,,,500.0,0.0
embed_dim128,2,4,-22.01483462001197,1.5307364320755006,2.517872734069824,2.127037562425248,,,312.39,0.79
embed_dim128,2,8,-38.2439077094011,2.7657060873508454,5.784809563159943,4.532232860182412,,,500.0,0.0
embed_dim128,2,16,-48.68591686524451,3.817733190059662,8.57791413784027,7.24207468837034,,,500.0,0.0
embed_dim128,2,32,-57.46334940083325,4.2923061609268185,10.0129820728302,7.637636677808477,,,500.0,0.0
embed_dim128,2,50,-63.83752872604877,4.236262180805206,10.462652187347413,5.893356024184078,,,500.0,0.0
embed_dim128,2,100,-77.60510078683495,4.291628959178925,11.42716926574707,7.249867800962645,,,500.0,0.0
embed_dim128,3,4,-192.5122292484343,37.55706388473511,54.366705436706546,32.330454343091695,,,500.0,0.0
embed_dim128,3,8,-194.1804339672625,38.12719158172607,62.6281538772583,34.948548901379105,,,500.0,0.0
embed_dim128,3,16,-198.34959674209355,38.29684326171875,66.92575645446777,36.974565873071555,,,500.0,0.0
embed_dim128,3,32,-207.07575182974338,38.230903472900394,68.6071134185791,36.781281385943295,,,500.0,0.0
embed_dim128,3,50,-216.2207014527917,38.21869918823242,69.37718215942382,37.54215558758974,,,500.0,0.0
embed_dim128,3,100,-241.3417594176531,38.19917373657226,70.10035758972168,37.83139630434811,,,500.0,0.0
embed_dim128,4,4,-19.94729074777104,2.043105810880661,2.7960158729553224,2.5588702711462976,,,428.67,0.2
embed_dim128,4,8,-32.43138273285702,4.092916007041931,6.198789920806885,7.053632281720638,,,500.0,0.0
embed_dim128,4,16,-38.09136567361653,4.7512944889068605,7.388609600067139,9.585735387802124,,,500.0,0.0
embed_dim128,4,32,-42.04869919542223,5.207501664161682,8.275277943611146,9.104103258308022,,,500.0,0.0
embed_dim128,4,50,-44.63089670270681,5.379593963623047,8.623472604751587,12.834393614387514,,,500.0,0.0
embed_dim128,4,100,-49.75411380756646,5.524145593643189,8.889694938659668,9.263176591539382,,,500.0,0.0
embed_dim128,5,4,-33.677415902018545,3.777577669620514,6.515058019161224,5.694452071730048,,,420.97,0.29
embed_dim128,5,8,-45.5108981308341,4.145359945893287,8.538602187633515,4.704149048049003,,,499.56,0.01
embed_dim128,5,16,-56.769477803576734,4.218796679973602,9.300776462554932,7.4402554677426815,,,500.0,0.0
embed_dim128,5,32,-71.11689158529043,4.199962391853332,9.784041633605957,8.429395266734064,,,500.0,0.0
embed_dim128,5,50,-80.56327686816454,4.201083471775055,10.1076251745224,6.218385314822196,,,500.0,0.0
embed_dim128,5,100,-107.43607041291892,4.495328249931336,11.365532274246215,11.226216191321612,,,500.0,0.0
embed_dim16,1,4,-8.544559193141758,1.4710356390476227,2.4926449418067933,1.9839254124322907,,,42.9,1.0
