config,metric,point,ci_low,ci_high
phi_layers1_phi_hidden_width128,Median,0.6789619814561421,0.3461670014953672,0.9283237308948877
phi_layers1_phi_hidden_width128,IQM,0.7889566640845448,0.23429836414991992,0.9570300678796091
phi_layers1_phi_hidden_width128,Mean,0.6789619814561421,0.3461670014953672,0.9283237308948877
phi_layers1_phi_hidden_width128,Optimality Gap,0.32103801854385794,0.07167626910511227,0.6538329985046327
phi_layers1_phi_hidden_width32,Median,0.7481515424536602,0.4127249660774185,0.9604324105436646
phi_layers1_phi_hidden_width32,IQM,0.8876576028084383,0.32861330884803536,0.9848605286861983
phi_layers1_phi_hidden_width32,Mean,0.7481515424536602,0.4127249660774185,0.9604324105436646
phi_layers1_phi_hidden_width32,Optimality Gap,0.2518484575463398,0.03956758945633543,0.5872750339225815
phi_layers1_phi_hidden_width64,Median,0.939632305185623,0.8788599095848678,0.9887842177681611
phi_layers1_phi_hidden_width64,IQM,0.9572474605527207,0.8580899975019415,0.9978701370495204
phi_layers1_phi_hidden_width64,Mean,0.939632305185623,0.8788599095848678,0.9887842177681611
phi_layers1_phi_hidden_width64,Optimality Gap,0.06036769481437698,0.011215782231838944,0.12114009041513218
phi_layers2_phi_hidden_width128,Median,0.646143975130378,0.2868531868099634,0.9838770445462434
phi_layers2_phi_hidden_width128,IQM,0.7161264994267406,0.12353322880114158,0.9893740759279331
phi_layers2_phi_hidden_width128,Mean,0.646143975130378,0.2868531868099634,0.9838770445462434
phi_layers2_phi_hidden_width128,Optimality Gap,0.353856024869622,0.016122955453756638,0.7131468131900366
phi_layers2_phi_hidden_width32,Median,0.8514969653263762,0.7385899381938843,0.9644039924588681
phi_layers2_phi_hidden_width32,IQM,0.8633003936353038,0.688728773975957,0.9750591778056966
phi_layers2_phi_hidden_width32,Mean,0.8514969653263762,0.7385899381938843,0.9644039924588681
phi_layers2_phi_hidden_width32,Optimality Gap,0.1485030346736238,0.0355960075411319,0.2614100618061157
phi_layers2_phi_hidden_width64,Median,0.5760058621735988,0.2821267126697974,0.8698850116774004
phi_layers2_phi_hidden_width64,IQM,0.6294493006431289,0.15883236683209967,0.9694538763943336
phi_layers2_phi_hidden_width64,Mean,0.5760058621735988,0.2821267126697974,0.8698850116774004
phi_layers2_phi_hidden_width64,Optimality Gap,0.42399413782640116,0.1301149883225996,0.7178732873302026
phi_layers4_phi_hidden_width128,Median,0.084975580490912,0.030502771166274544,0.14428002737789059
phi_layers4_phi_hidden_width128,IQM,0.07841638070062222,0.012706768746377018,0.16455035676587615
phi_layers4_phi_hidden_width128,Mean,0.084975580490912,0.030502771166274544,0.14428002737789059
phi_layers4_phi_hidden_width128,Optimality Gap,0.915024419509088,0.8557199726221094,0.9694972288337255
phi_layers4_phi_hidden_width32,Median,0.19311825657609638,0.06101654819220165,0.4234042860634199
phi_layers4_phi_hidden_width32,IQM,0.08863495954694976,0.05634486467758434,0.47244500869248895
phi_layers4_phi_hidden_width32,Mean,0.19311825657609638,0.06101654819220165,0.4234042860634199
phi_layers4_phi_hidden_width32,Optimality Gap,0.8068817434239036,0.57659571393658,0.9389834518077984
phi_layers4_phi_hidden_width64,Median,0.3037495206106913,0.06953866528339805,0.5662141723179998
phi_layers4_phi_hidden_width64,IQM,0.2569846371168441,0.044453165362368686,0.6704305160586285
phi_layers4_phi_hidden_width64,Mean,0.3037495206106913,0.06953866528339805,0.5662141723179998
phi_layers4_phi_hidden_width64,Optimality Gap,0.6962504793893087,0.43378582768200025,0.930461334716602
