config,variant,run,train_size,test_size,seed,episode,ep_reward,ep_length,converged,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,0,-6.931791802868247,31,True,2.1966392993927,4.107611656188965,1.2873986810445786,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,1,-3.415192775428295,21,True,1.4959301948547363,2.095519781112671,0.9348195642232895,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,2,-3.7571829054504633,25,True,1.623198390007019,2.2464053630828857,1.0180484503507614,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,3,-4.719714494422078,29,True,1.5128315687179565,2.149495840072632,0.9476308524608612,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,4,-7.419519890099764,32,True,1.3572726249694824,2.5214693546295166,0.7671997994184494,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,5,-4.2155689327046275,24,True,1.8116859197616577,2.682260513305664,1.1234081983566284,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,6,-5.635763170197606,31,True,1.4995771646499634,2.2258081436157227,0.9070003107190132,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,7,-5.679934463463724,29,True,1.4138303995132446,2.335181951522827,0.8600919246673584,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,8,-4.838707901537418,23,True,2.001842737197876,2.8084864616394043,1.179496318101883,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,9,-6.159047240391374,26,True,2.122755765914917,3.7590231895446777,1.2301225736737251,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,10,-7.232296307571232,34,True,1.5176657438278198,2.9037537574768066,0.8448557630181313,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,11,-4.777882179245353,30,True,1.5050023794174194,2.2283248901367188,0.9184730052947998,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,12,-7.169085710309446,30,True,1.5342144966125488,2.1872880458831787,0.9480591714382172,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,13,-5.534650478512049,29,True,1.536977767944336,2.5329151153564453,0.9005952477455139,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,14,-8.160151268355548,33,True,2.6587562561035156,4.592300891876221,1.5300084352493286,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,15,-5.436577495187521,26,True,1.835506558418274,3.346794605255127,1.1953590214252472,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,16,-6.332264274358749,30,True,1.8930001258850098,3.553679943084717,1.1594196185469627,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,17,-7.411783846095204,30,True,1.3834298849105835,2.363985776901245,0.8365860432386398,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,18,-6.812129434198141,32,True,1.2529793977737427,2.106118679046631,0.7593501657247543,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,19,-6.169517716392875,31,True,2.156538724899292,2.8949432373046875,1.3834526240825653,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,20,-7.133172048255801,31,True,2.0150868892669678,3.7464869022369385,1.1615972854197025,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,21,-4.561828186735511,25,True,1.4771356582641602,2.21567702293396,0.9570926427841187,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,22,-4.906403236091137,27,True,2.037111282348633,3.470461845397949,1.2546041011810303,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,23,-7.267063757404685,31,True,1.9743962287902832,2.9127378463745117,1.17441126704216,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,24,-6.569306748919189,28,True,1.8122590780258179,3.159189224243164,1.1066822558641434,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,25,-7.8784428192302585,34,True,1.715126395225525,2.5379245281219482,1.0760624408721924,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,26,-4.284436337649822,24,True,2.426434278488159,4.282968044281006,49.22285175323486,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,27,-6.60484223626554,32,True,1.6652835607528687,2.6325597763061523,1.004564993083477,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,28,-3.285510465502739,22,True,1.6857857704162598,3.078003406524658,0.9794361814856529,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,29,-5.448449732735753,28,True,1.670843243598938,2.4650864601135254,1.0372773855924606,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,30,-3.187499303370714,21,True,1.8662172555923462,3.1469292640686035,1.1568704843521118,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,31,-5.215126732364297,27,True,1.782153606414795,2.7370641231536865,1.1402909010648727,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,32,-3.6017993185669184,27,True,1.5552444458007812,2.315774917602539,0.8758528754115105,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,33,-6.509805027395487,36,True,1.9706807136535645,2.8201565742492676,49.27705001831055,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,34,-3.8208593418821692,25,True,1.611913800239563,2.6859230995178223,0.9878726378083229,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,35,-6.4581513572484255,31,True,1.3234480619430542,2.0929617881774902,0.8646737188100815,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,36,-3.4840309685096145,23,True,1.5293794870376587,2.768285036087036,0.9362288676202297,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,37,-6.436918664723635,29,True,1.6220183372497559,2.890106201171875,0.9835226908326149,,
architecture_scalability_rendezvous_4agents,phi1_w64,1,4,4,0,38,-8.609146669507027,37,True,1.5586735010147095,2.6732466220855713,0.9136752001941204,,
