variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged
phi1_w128,1,4,-5.214485476952977,1.7681802463531495,2.9151620864868164,1.0740072068758308,,,28.64,1.0
phi1_w128,1,8,-7.337858393136412,1.3517907816171646,2.6590892124176024,3.469242805351969,,,39.37,1.0
phi1_w128,1,16,-10.248191326595842,1.1672951221466064,2.4715889644622804,0.8281977068260312,,,106.81,0.9
phi1_w128,1,32,-21.60892621651292,1.099889448285103,2.4484285044670107,2.575808542671148,,,305.34,0.44
phi1_w128,1,50,-36.93017208073288,1.086359171271324,2.5089249086380003,2.789583909833431,,,455.86,0.1
phi1_w128,1,100,-65.19876662932336,1.0849669766426087,2.5767161369323732,3.626941825430095,,,495.67,0.01
phi1_w128,2,4,-5.41091519806534,1.6435148298740387,2.775135388374329,1.714490785356611,,,27.99,1.0
phi1_w128,2,8,-11.396374322008342,1.2726932668685913,2.765892527103424,1.6768843547953294,,,55.83,1.0
phi1_w128,2,16,-10.357812869958579,1.111509115099907,2.675088303089142,1.6701138768577948,,,51.47,1.0
phi1_w128,2,32,-11.210493404045701,1.0216263473033904,2.5606361389160157,1.8979502151376801,,,53.97,1.0
phi1_w128,2,50,-16.258298113383354,1.617999685406685,3.8000968313217163,2.164016376606375,,,70.72,0.97
phi1_w128,2,100,-16.999778430089354,0.9842320501804351,2.3338606333732606,2.3304803722701037,,,68.12,1.0
phi1_w128,3,4,-4.800328623969108,1.6489671111106872,2.8352937269210816,2.4132763052359225,,,25.43,1.0
phi1_w128,3,8,-7.772694223895669,1.2374594473838807,2.65171240568161,3.652617698404938,,,40.9,1.0
phi1_w128,3,16,-8.713125404678285,1.0761174243688583,2.4976454639434813,2.587482958988403,,,49.94,1.0
phi1_w128,3,32,-10.654240492023527,1.0012563008069992,2.362395796775818,1.4814846352502355,,,60.28,1.0
phi1_w128,3,50,-12.896761129871011,0.9705879044532776,2.197726671695709,1.5643021889917552,,,74.05,1.0
phi1_w128,3,100,-18.565334547013045,0.9492106318473816,2.0774779987335203,0.7110181524732616,,,94.62,1.0
phi1_w128,4,4,-5.2117481008870525,1.7264978551864625,2.8912272024154664,2.7321598315238953,,,26.5,1.0
phi1_w128,4,8,-7.383478377014399,1.2731434816122056,2.654625027179718,2.4132748236414043,,,39.91,1.0
phi1_w128,4,16,-9.08319776179269,1.1112376695871353,2.4526553082466127,0.7997448998643085,,,49.5,1.0
phi1_w128,4,32,-10.994540165066718,1.0415756392478943,2.354420783519745,1.0309783516521565,,,58.79,1.0
phi1_w128,4,50,-12.872732650488615,1.0179329115152358,2.2519065809249876,1.8135461155079304,,,63.66,1.0
phi1_w128,4,100,-16.60476028941572,0.9944333726167679,2.2017559456825255,1.2379205090170726,,,68.48,1.0
phi1_w128,5,4,-5.68805904885754,1.7262818348407745,2.9120257472991944,2.352667949371971,,,28.23,1.0
phi1_w128,5,8,-8.780751573164016,1.2369699853658676,2.5314710450172426,3.605135885659838,,,45.35,1.0
phi1_w128,5,16,-9.878681222442538,1.287064471244812,2.9782838916778562,3.7421066788217288,,,49.82,0.99
phi1_w128,5,32,-10.646216098964214,1.0021022671461106,2.5823907399177553,1.456678375970805,,,52.03,1.0
phi1_w128,5,50,-13.467346193417907,1.1647699189186096,2.9997113060951235,1.8162097767325118,,,60.03,0.99
phi1_w128,5,100,-15.500695845857262,0.9158542811870575,2.500046420097351,1.2121638493282954,,,59.03,1.0
phi1_w32,1,4,-4.8313537742011246,1.7115777516365052,2.887554361820221,3.316370862334734,,,26.76,1.0
phi1_w32,1,8,-8.066151183219626,1.3154017925262451,2.704743323326111,2.3429002958606,,,51.83,0.98
phi1_w32,1,16,-12.55051723267883,1.1631254243850708,2.5775745701789856,2.150706918600481,,,172.52,0.74
phi1_w32,1,32,-28.157973119989038,1.4836061441898345,3.4475867533683777,2.4461822060262786,,,424.29,0.17
phi1_w32,1,50,-37.838336198404434,1.0816925698518753,2.582811620235443,1.6916648869365454,,,477.71,0.05
phi1_w32,1,100,-65.18368796549737,1.0769419384002685,2.6072458386421205,1.4084285084962846,,,500.0,0.0
phi1_w32,2,4,-6.232784842988476,1.7533800494670868,2.927908704280853,3.4521095179207624,,,30.4,1.0
