variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged
phi1_w128,1,4,-608.6839468546957,,,,30.00824866294861,,1024.0,0.0
phi1_w128,1,8,-434.4651475107297,,,,22.206182460784913,,1024.0,0.0
phi1_w128,1,16,-265.52631765211004,,,,11.792122111320495,429.875,881.41,0.24
phi1_w128,1,32,-56.082999664358795,,,,3.43110422372818,208.47826086956522,273.72,0.92
phi1_w128,1,50,-17.551534236040897,,,,2.970258934497833,96.44444444444444,105.72,0.99
phi1_w128,1,100,-2.436905851708725,,,,3.0151760674486257,23.04,23.04,1.0
phi1_w128,2,4,-527.3844205631316,,,,23.75496410369873,,1024.0,0.0
phi1_w128,2,8,-389.8361459504068,,,,19.070985631942747,,1024.0,0.0
phi1_w128,2,16,-275.38713592238724,,,,12.973855876922608,,1024.0,0.0
phi1_w128,2,32,-205.16941491002217,,,,10.251077280044555,390.0,1004.98,0.03
phi1_w128,2,50,-121.06077772079966,,,,6.209501552581787,364.0,713.8,0.47
phi1_w128,2,100,-17.776546903895213,,,,3.1594593135678037,136.010101010101,144.89,0.99
phi1_w128,3,4,-559.1045848421752,,,,28.26646086215973,,1024.0,0.0
phi1_w128,3,8,-345.22719601539893,,,,15.908204567432403,585.7272727272727,975.79,0.11
phi1_w128,3,16,-94.17154142760671,,,,4.039276793003082,326.43333333333334,396.19,0.9
phi1_w128,3,32,-17.676175232175737,,,,2.9500857162475587,102.84,102.84,1.0
phi1_w128,3,50,-7.480112967127934,,,,2.885451781749725,55.31,55.31,1.0
phi1_w128,3,100,-2.8117350432649255,,,,2.9598605322837828,26.43,26.43,1.0
phi1_w128,4,4,-590.0379283928127,,,,25.08048852443695,,1024.0,0.0
phi1_w128,4,8,-474.2584362059459,,,,23.548929483890532,660.5,1016.73,0.02
phi1_w128,4,16,-335.283902456183,,,,15.150826315879822,588.04,915.01,0.25
phi1_w128,4,32,-148.5333035377506,,,,5.659266061782837,376.6623376623377,525.55,0.77
phi1_w128,4,50,-50.23005482195178,,,,3.5520956182479857,196.98958333333334,230.07,0.96
phi1_w128,4,100,-6.5693354125553745,,,,2.961365964677599,54.24,54.24,1.0
phi1_w128,5,4,-623.8687838273868,,,,28.748321640491486,1013.0,1023.89,0.01
phi1_w128,5,8,-357.061149640684,,,,14.267605588436126,480.3777777777778,779.37,0.45
phi1_w128,5,16,-97.34709281547926,,,,3.091566665172577,273.8061224489796,288.81,0.98
phi1_w128,5,32,-20.761268676323816,,,,2.954004487991333,93.81,93.81,1.0
phi1_w128,5,50,-7.1773324856814,,,,2.819609031677246,47.0,47.0,1.0
phi1_w128,5,100,-2.766102735074237,,,,2.9718504786491393,25.26,25.26,1.0
phi1_w32,1,4,-535.6747798918187,,,,25.13419114112854,231.0,1016.07,0.01
phi1_w32,1,8,-412.2970704720169,,,,19.480627558231355,519.3333333333334,993.72,0.06
phi1_w32,1,16,-230.03198237992822,,,,9.593856339454652,410.21153846153845,704.83,0.52
phi1_w32,1,32,-69.46071088504046,,,,3.261095476150513,244.69791666666666,275.87,0.96
phi1_w32,1,50,-13.263196323540761,,,,3.0196006369590758,74.43,74.43,1.0
phi1_w32,1,100,-2.8489209817256778,,,,2.9287948060035705,25.08,25.08,1.0
phi1_w32,2,4,-708.3751252934337,,,,33.25473065376282,,1024.0,0.0
phi1_w32,2,8,-322.5284188859165,,,,9.300425477027893,,1024.0,0.0
phi1_w32,2,16,-176.09221383869647,,,,6.808587098121643,,1024.0,0.0
phi1_w32,2,32,-155.69916142556815,,,,7.047543148994446,,1024.0,0.0
phi1_w32,2,50,-152.09948707226664,,,,7.112019729614258,,1024.0,0.0
phi1_w32,2,100,-142.98836844590494,,,,6.944626946449279,16.75,983.71,0.04
phi1_w32,3,4,-506.7211234501749,,,,23.386973438262938,,1024.0,0.0
phi1_w32,3,8,-303.04946649603545,,,,13.59930290699005,,1024.0,0.0
phi1_w32,3,16,-158.50910551967098,,,,7.153047184944153,261.6666666666667,863.91,0.21
phi1_w32,3,32,-76.60563131637872,,,,4.72046879529953,84.26415094339623,525.94,0.53
phi1_w32,3,50,-29.56229600077495,,,,3.5535079884529113,52.24390243902439,227.16,0.82
phi1_w32,3,100,-3.398751162653789,,,,3.056106914173473,20.282828282828284,30.32,0.99
phi1_w32,4,4,-526.5928669144213,,,,25.062351026535033,,1024.0,0.0
phi1_w32,4,8,-399.95099608737974,,,,18.658879323005678,,1024.0,0.0
phi1_w32,4,16,-219.04418292203917,,,,9.693977916240692,442.5,768.14,0.44
phi1_w32,4,32,-48.778872032677754,,,,3.0815029096603395,222.15151515151516,230.17,0.99
phi1_w32,4,50,-11.388433099817485,,,,2.9683287239074705,71.95,71.95,1.0
phi1_w32,4,100,-2.627217645868659,,,,2.9362645292282106,24.5,24.5,1.0
phi1_w32,5,4,-530.4095040220767,,,,23.770992488861083,,1024.0,0.0
phi1_w32,5,8,-371.23123652607205,,,,18.14965247631073,,1024.0,0.0
phi1_w32,5,16,-233.1863993006479,,,,10.415451023578644,515.0869565217391,906.95,0.23
phi1_w32,5,32,-69.20069276086055,,,,3.3838326573371886,339.2736842105263,373.51,0.95
phi1_w32,5,50,-18.741402782835067,,,,3.0436490249633787,123.24,123.24,1.0
phi1_w32,5,100,-5.189846667810343,,,,2.9960588002204895,46.43,46.43,1.0
phi1_w64,1,4,-711.0033327312022,,,,31.426263561248778,,1024.0,0.0
phi1_w64,1,8,-527.8097058837116,,,,22.395702810287474,,1024.0,0.0
phi1_w64,1,16,-388.68779936619103,,,,18.476909494400026,,1024.0,0.0
phi1_w64,1,32,-280.4519599127956,,,,13.514246408939362,845.3333333333334,1018.64,0.03
phi1_w64,1,50,-211.6438585386239,,,,9.899664843082428,553.5625,948.73,0.16
phi1_w64,1,100,-83.43960119098425,,,,4.097471227549543,408.4691358024691,525.42,0.81
phi1_w64,2,4,-549.7546355826407,,,,27.095561351776123,,1024.0,0.0
phi1_w64,2,8,-379.25296732094137,,,,18.316426351070405,610.0,1011.58,0.03
phi1_w64,2,16,-171.45451151069253,,,,6.589786674976349,426.6,635.69,0.65
phi1_w64,2,32,-37.93036877471954,,,,2.9733753083932277,187.14,187.14,1.0
phi1_w64,2,50,-9.477870687940158,,,,2.9867386698722838,59.68,59.68,1.0
phi1_w64,2,100,-2.5504938780143855,,,,2.986228558481956,23.04,23.04,1.0
phi1_w64,3,4,-417.45219197988513,,,,14.28138289451599,,1024.0,0.0
phi1_w64,3,8,-225.427151713036,,,,9.161141431331634,365.125,971.29,0.08
phi1_w64,3,16,-74.8822046574764,,,,4.402100825309754,238.27692307692308,513.28,0.65
phi1_w64,3,32,-12.073918170351535,,,,3.064987144470215,72.13131313131314,81.65,0.99
phi1_w64,3,50,-6.4973645057715474,,,,2.938101201057434,49.54,49.54,1.0
phi1_w64,3,100,-2.5278911384008826,,,,2.939569526248508,24.61,24.61,1.0
phi1_w64,4,4,-523.0935988046228,,,,23.372813568115234,,1024.0,0.0
phi1_w64,4,8,-420.44200679633764,,,,19.157922511100768,446.3333333333333,1006.67,0.03
phi1_w64,4,16,-277.60348775806835,,,,12.61476160287857,482.1,861.43,0.3
phi1_w64,4,32,-99.49397584813647,,,,4.175394423007965,338.5444444444444,407.09,0.9
