config,variant,run,train_size,test_size,seed,episode,ep_reward,ep_length,converged,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,0,-551.3883804306388,1024,False,,,,32.681724548339844,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,1,-517.8011430203915,1024,False,,,,35.6607780456543,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,2,-539.5379382222891,1024,False,,,,9.003766059875488,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,3,-529.9783805459738,1024,False,,,,32.55331039428711,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,4,-514.0013608336449,1024,False,,,,28.088022232055664,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,5,-513.3744432926178,1024,False,,,,18.077280044555664,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,6,-521.2737871184945,1024,False,,,,31.62547492980957,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,7,-568.6244110614061,1024,False,,,,24.617509841918945,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,8,-599.2350183576345,1024,False,,,,29.040117263793945,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,9,-538.7214242219925,1024,False,,,,22.3686580657959,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,10,-555.0638899952173,1024,False,,,,24.587635040283203,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,11,-525.5115916579962,1024,False,,,,24.438186645507812,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,12,-610.3365532755852,1024,False,,,,21.533126831054688,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,13,-529.6902156919241,1024,False,,,,24.984676361083984,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,14,-522.5151475071907,1024,False,,,,21.75699806213379,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,15,-557.5550446286798,1024,False,,,,26.50692367553711,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,16,-522.0229346454144,1024,False,,,,19.513153076171875,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,17,-608.007121488452,1024,False,,,,30.151369094848633,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,18,-495.9178580828011,1024,False,,,,35.313594818115234,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,19,-528.5943838655949,1024,False,,,,26.59343719482422,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,20,-606.7196354418993,1024,False,,,,27.93628692626953,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,21,-526.6025809496641,1024,False,,,,28.018470764160156,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,22,-560.5031934082508,1024,False,,,,33.58478546142578,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,23,-547.3864610493183,1024,False,,,,19.999792098999023,
architecture_scalability_pursuit_evasion_16agents,phi1_w32,1,16,4,0,24,-532.5498298257589,1024,False,,,,45.79033660888672,
