config_x,config_y,p_improvement,ci_low,ci_high
phi_layers1_phi_hidden_width128,phi_layers4_phi_hidden_width64,0.56,0.16,1.0
phi_layers1_phi_hidden_width32,phi_layers4_phi_hidden_width64,0.52,0.16,0.96
phi_layers1_phi_hidden_width64,phi_layers4_phi_hidden_width64,0.68,0.2,1.0
phi_layers2_phi_hidden_width128,phi_layers4_phi_hidden_width64,0.76,0.4,1.0
phi_layers2_phi_hidden_width32,phi_layers4_phi_hidden_width64,0.48,0.12,1.0
phi_layers2_phi_hidden_width64,phi_layers4_phi_hidden_width64,0.68,0.28,1.0
phi_layers4_phi_hidden_width128,phi_layers4_phi_hidden_width64,0.52,0.12,0.92
phi_layers4_phi_hidden_width32,phi_layers4_phi_hidden_width64,0.48,0.12,0.88
