config,run,task,score
phi_layers1_phi_hidden_width128,0,4,-5.164599943161011
phi_layers1_phi_hidden_width128,1,4,-5.928577518463134
phi_layers1_phi_hidden_width128,2,4,-5.562294769287109
phi_layers1_phi_hidden_width128,3,4,-4.864307284355164
phi_layers1_phi_hidden_width128,4,4,-5.160161304473877
phi_layers1_phi_hidden_width32,0,4,-5.112093353271485
phi_layers1_phi_hidden_width32,1,4,-5.990275907516479
phi_layers1_phi_hidden_width32,2,4,-5.245226621627808
phi_layers1_phi_hidden_width32,3,4,-5.264201140403747
phi_layers1_phi_hidden_width32,4,4,-5.337334108352661
phi_layers1_phi_hidden_width64,0,4,-5.311649227142334
phi_layers1_phi_hidden_width64,1,4,-5.308723449707031
phi_layers1_phi_hidden_width64,2,4,-5.254086923599243
phi_layers1_phi_hidden_width64,3,4,-4.823096036911011
phi_layers1_phi_hidden_width64,4,4,-5.3698324203491214
phi_layers2_phi_hidden_width128,0,4,-5.063305425643921
phi_layers2_phi_hidden_width128,1,4,-5.2907479763031
phi_layers2_phi_hidden_width128,2,4,-4.8889354228973385
phi_layers2_phi_hidden_width128,3,4,-5.323485040664673
phi_layers2_phi_hidden_width128,4,4,-5.117097043991089
phi_layers2_phi_hidden_width32,0,4,-5.624314641952514
phi_layers2_phi_hidden_width32,1,4,-5.901481962203979
phi_layers2_phi_hidden_width32,2,4,-5.465956497192383
phi_layers2_phi_hidden_width32,3,4,-5.211606502532959
phi_layers2_phi_hidden_width32,4,4,-5.626600027084351
phi_layers2_phi_hidden_width64,0,4,-5.022141790390014
phi_layers2_phi_hidden_width64,1,4,-5.232763147354126
phi_layers2_phi_hidden_width64,2,4,-5.156738996505737
phi_layers2_phi_hidden_width64,3,4,-5.402046012878418
phi_layers2_phi_hidden_width64,4,4,-5.124332094192505
phi_layers4_phi_hidden_width128,0,4,-5.815451431274414
phi_layers4_phi_hidden_width128,1,4,-5.2836884498596195
phi_layers4_phi_hidden_width128,2,4,-5.2378777980804445
phi_layers4_phi_hidden_width128,3,4,-5.691984510421753
phi_layers4_phi_hidden_width128,4,4,-5.230290460586548
phi_layers4_phi_hidden_width32,0,4,-6.248810148239135
phi_layers4_phi_hidden_width32,1,4,-5.170450878143311
phi_layers4_phi_hidden_width32,2,4,-5.021294689178466
phi_layers4_phi_hidden_width32,3,4,-5.571426630020142
phi_layers4_phi_hidden_width32,4,4,-5.697985124588013
phi_layers4_phi_hidden_width64,0,4,-5.894376802444458
phi_layers4_phi_hidden_width64,1,4,-5.142603492736816
phi_layers4_phi_hidden_width64,2,4,-5.637955093383789
phi_layers4_phi_hidden_width64,3,4,-5.8806806087493895
phi_layers4_phi_hidden_width64,4,4,-4.902815437316894
