config,run,task,score
embed_dim128,0,50,-46.3836109161377
embed_dim128,1,50,-64.38912620544434
embed_dim128,2,50,-214.59954223632812
embed_dim128,3,50,-45.67611999511719
embed_dim128,4,50,-87.4953483581543
embed_dim16,0,50,-20.745993041992186
embed_dim16,1,50,-25.54530773162842
embed_dim16,2,50,-82.80019454956054
embed_dim16,3,50,-46.9835807800293
embed_dim16,4,50,-66.16405143737794
embed_dim32,0,50,-18.318135452270507
embed_dim32,1,50,-16.888754081726074
embed_dim32,2,50,-19.95468215942383
embed_dim32,3,50,-41.04193878173828
embed_dim32,4,50,-45.51359252929687
embed_dim4,0,50,-215.27935028076172
embed_dim4,1,50,-81.4596076965332
embed_dim4,2,50,-219.62437896728517
embed_dim4,3,50,-57.782266998291014
embed_dim4,4,50,-98.52855072021484
embed_dim64,0,50,-16.320122814178468
embed_dim64,1,50,-15.500500965118409
embed_dim64,2,50,-15.702754878997803
embed_dim64,3,50,-62.63382186889648
embed_dim64,4,50,-58.78611602783203
embed_dim8,0,50,-90.93701705932617
embed_dim8,1,50,-203.75389556884767
embed_dim8,2,50,-145.9173141479492
embed_dim8,3,50,-22.807812881469726
embed_dim8,4,50,-25.553334045410157
