config,metric,point,ci_low,ci_high
embed_dim128,Median,0.5548613409167421,0.26526245322255027,0.7588365598381872
embed_dim128,IQM,0.6266741467899092,0.2144161124896146,0.8092383647655638
embed_dim128,Mean,0.5548613409167421,0.26526245322255027,0.7588365598381872
embed_dim128,Optimality Gap,0.4451386590832579,0.24116344016181254,0.7347375467774493
embed_dim16,Median,0.551896806161419,0.20398057814618106,0.8953275741938373
embed_dim16,IQM,0.6014997005541446,0.02941630288451116,0.9384698243240267
embed_dim16,Mean,0.551896806161419,0.20398057814618106,0.8953275741938373
embed_dim16,Optimality Gap,0.448103193838581,0.10467242580616222,0.7960194218538189
embed_dim32,Median,0.37936139517272793,0.13213940949347983,0.6479957380894975
embed_dim32,IQM,0.385462663159802,0.03568726206253577,0.7187249875967292
embed_dim32,Mean,0.37936139517272793,0.13213940949347983,0.6479957380894975
embed_dim32,Optimality Gap,0.6206386048272721,0.3520042619105025,0.86786059050652
embed_dim4,Median,0.2830201238744422,0.08843426535233198,0.6274374746493452
embed_dim4,IQM,0.1376126286511459,0.08126384053985142,0.6823397316980083
embed_dim4,Mean,0.2830201238744422,0.08843426535233198,0.6274374746493452
embed_dim4,Optimality Gap,0.7169798761255578,0.37256252535065487,0.911565734647668
embed_dim64,Median,0.5504194425754719,0.27582540924404164,0.827734573495593
embed_dim64,IQM,0.5529396812440139,0.23835943248492297,0.9302512959668828
embed_dim64,Mean,0.5504194425754719,0.27582540924404164,0.827734573495593
embed_dim64,Optimality Gap,0.44958055742452807,0.17226542650440702,0.7241745907559582
embed_dim8,Median,0.452466975180801,0.18339200124635255,0.7305792413194502
embed_dim8,IQM,0.442452560067,0.08236644866323216,0.8049790532161306
embed_dim8,Mean,0.452466975180801,0.18339200124635255,0.7305792413194502
embed_dim8,Optimality Gap,0.547533024819199,0.26942075868054965,0.8166079987536473
