config,metric,point,ci_low,ci_high
embed_dim128,Median,0.8701097201315615,0.7517146095225083,0.9647608320179145
embed_dim128,IQM,0.9029080979073635,0.7055829135589414,0.9827266643909572
embed_dim128,Mean,0.8701097201315615,0.7517146095225083,0.9647608320179145
embed_dim128,Optimality Gap,0.12989027986843849,0.035239167982085484,0.24828539047749165
embed_dim16,Median,0.6865970069152023,0.5587514447947474,0.8144425690356574
embed_dim16,IQM,0.6790044050180651,0.5306974162558827,0.8678560710314468
embed_dim16,Mean,0.6865970069152023,0.5587514447947474,0.8144425690356574
embed_dim16,Optimality Gap,0.3134029930847977,0.18555743096434263,0.44124855520525263
embed_dim32,Median,0.7065036038439242,0.5068554952709108,0.9023140966477806
embed_dim32,IQM,0.7409598084698493,0.41740803782700747,0.9400281376479255
embed_dim32,Mean,0.7065036038439242,0.5068554952709108,0.9023140966477806
embed_dim32,Optimality Gap,0.2934963961560758,0.09768590335221938,0.4931445047290892
embed_dim4,Median,0.41927199409914595,0.19591009957031147,0.5711891773573688
embed_dim4,IQM,0.488349298083045,0.15883742054982752,0.5885541295650879
embed_dim4,Mean,0.41927199409914595,0.19591009957031147,0.5711891773573688
embed_dim4,Optimality Gap,0.580728005900854,0.42881082264263115,0.8040899004296885
embed_dim64,Median,0.8268868582204167,0.7256289166373311,0.9008862746229298
embed_dim64,IQM,0.8547063805302525,0.6985264084202879,0.9160364569324236
embed_dim64,Mean,0.8268868582204167,0.7256289166373311,0.9008862746229298
embed_dim64,Optimality Gap,0.17311314177958326,0.0991137253770702,0.2743710833626689
embed_dim8,Median,0.5048560689357229,0.37899946157505066,0.6070828531439745
embed_dim8,IQM,0.5343018853749234,0.3352431102325976,0.6325915245365162
embed_dim8,Mean,0.5048560689357229,0.37899946157505066,0.6070828531439745
embed_dim8,Optimality Gap,0.4951439310642771,0.3929171468560255,0.6210005384249493
