config,run,task,score
embed_dim128,0,4,-5.255464720726013
embed_dim128,1,4,-5.771025800704956
embed_dim128,2,4,-5.1244970798492435
embed_dim128,3,4,-5.218035316467285
embed_dim128,4,4,-5.425761413574219
embed_dim16,0,4,-5.903617811203003
embed_dim16,1,4,-5.421703433990478
embed_dim16,2,4,-5.786419200897217
embed_dim16,3,4,-6.005615901947022
embed_dim16,4,4,-5.3336855411529545
embed_dim32,0,4,-6.27898588180542
embed_dim32,1,4,-5.216152238845825
embed_dim32,2,4,-5.970360326766968
embed_dim32,3,4,-5.539935159683227
embed_dim32,4,4,-5.265945243835449
embed_dim4,0,4,-6.021543025970459
embed_dim4,1,4,-5.790001010894775
embed_dim4,2,4,-6.053205299377441
embed_dim4,3,4,-6.06942400932312
embed_dim4,4,4,-6.929557371139526
embed_dim64,0,4,-5.344423818588257
embed_dim64,1,4,-5.2418725967407225
embed_dim64,2,4,-5.375290632247925
embed_dim64,3,4,-5.782728624343872
embed_dim64,4,4,-5.4405680179595945
embed_dim8,0,4,-5.854664611816406
embed_dim8,1,4,-6.441772890090943
embed_dim8,2,4,-6.0897242546081545
embed_dim8,3,4,-5.950941896438598
embed_dim8,4,4,-5.754204988479614
